"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Pará","371360388.81906617","345661244.50918806","488793942.5429937","390347953.1037764","409692613.1819468","570984511.7488602","460800022.88834316","562406816.3304728","480997291.7546279","399527070.9386088","438735643.592919","563970287.2043018","525195439.96637326","608576583.8282247","653297314.7413914","523687283.1517514","500050764.85917467","425265223.96253306","431587721.2577786","305178123.4579136","263816142.73005325","229223085.06525838","238745127.42903483","275266825.3962799","260838678.34529525","297073765.34908694","358915895.15797746","296520277.6575735","334548164.83325016","422834068.2564558","410878073.3020445","538918537.2644329","439050427.7988199","312260528.9059793"
"Mato Grosso","299145398.1764236","308070390.52979916","412319370.1734384","395924854.0922477","546202292.562718","646279825.2059964","535880922.15760416","523770590.95205915","533169148.27895224","590494472.8555993","453125571.36694074","471683500.95231974","611615120.3254244","855284253.3758879","762821853.360859","589493006.6995733","364946741.07399094","272362867.65698934","292040983.0819918","175141873.90271524","173071532.86796302","222939529.4797767","197600019.36599892","250575952.35877666","225923582.3984453","248465171.09833968","212761358.19761658","220687740.62057945","231969553.6890503","278904083.3796229","243673344.16912997","264612181.8816111","336848300.06839675","298571092.75983113"
"Maranhão","155195859.97243583","143784970.80929595","203711610.30886257","164288184.87471113","152616759.41784972","143267937.3121743","139497598.0100718","128887065.41533421","189756452.07714325","124264484.6403252","153847847.338067","128728810.45353356","126047213.6735623","164667249.64629912","133753348.13305515","131997429.68565242","129652575.89574766","134014497.03667633","130671315.73492138","96849035.43370128","87310974.86020853","93907076.02882187","115968724.44143006","118902883.20531073","98316208.93006957","106302230.84583923","106634722.13898697","95589321.1732568","93019999.00200804","105652490.46481438","119382331.4324789","117197000.87619492","153841142.33336234","173423805.72165483"
"Minas Gerais","171891874.7191574","180326022.21079493","167609898.8274464","171171365.58859444","159031256.94902197","164711944.56599694","159340758.5853784","163445596.24534005","156803396.25224257","165187873.33056748","159817737.32551366","156305586.839465","163515971.34772146","167301742.40370828","170381652.50843292","172947359.73980796","169466448.81133482","171395024.75335884","171194933.69144025","159978380.21823394","165559211.94286287","167071156.936903","174059290.63480556","181230094.36433417","175856321.90967992","172766415.25856912","164322115.77846748","156978851.40636256","154615333.65854168","155728178.8349372","156907583.341498","166520812.04363894","165199757.31894073","169755224.1373726"
"São Paulo","118884392.75664908","125422972.9834367","122058032.80632293","125479416.03371274","137770312.5091752","140101735.43808955","138892307.38565448","140087300.40914634","140948536.30481207","145582428.25493592","152156078.00649157","150384214.14820063","148114068.6684459","146800254.33689168","146021891.99440938","145157570.72385743","144171923.48076034","151309190.18845114","151665278.12369463","146712177.29026815","154845952.01316452","163417563.05986983","166395446.93805563","170761369.94708097","166613131.54719907","158430567.48936328","149843632.97883388","153592900.7372422","147823955.591096","147384734.1584362","142427706.2126106","149888242.4192902","152431308.88459054","154776232.81666505"
"Bahia","109641990.14207718","112988088.96298604","111979366.79482138","101928340.48112625","100125796.26890472","103801824.58985229","96029188.99165016","89181555.02711222","86988046.2305207","97609569.31875396","93655266.51670544","91161760.66623032","83102044.25428203","84748306.33352494","104088325.01396386","93857893.34964857","88719774.75486091","86318363.79549345","101273333.97733799","95992646.53422397","87120287.10990629","90169363.84153607","99337308.46209757","102996272.34521155","92494813.28910123","85433893.24772629","84311342.00512448","78668624.15476108","86972207.11365575","92658441.55471933","100302355.98405273","112067043.71933931","120289305.56959239","134962851.35631758"
"Rondônia","70976554.29632598","116072965.70820855","145400208.27918404","145848993.99300045","185905370.80009374","239498272.54816845","222938052.1768677","159857465.7836557","148175422.24383464","180830835.36850357","160341657.43796915","168225052.54199904","206172854.36823764","292689689.09121555","242541760.35356238","231991686.20377052","158943481.1861388","127546365.28189333","94422489.64925754","62404191.41337457","59959920.16720119","95128694.02799125","81125660.2162324","89779575.47411989","91158231.31913021","118043561.57468162","131983987.03177555","125135806.47266087","114809319.10230362","149094524.57883665","129241934.22090799","152454908.5272387","154964539.72860318","99632560.32222188"
"Amazonas","21606709.009402085","23182069.334519956","33931750.52216309","33128191.801675994","34809614.40084319","37601807.02092478","43736281.80553235","60411580.212675825","74929965.87159583","46224229.5237804","44392783.215699226","36883258.00111553","49212026.23085338","77110985.25675566","66312347.85298964","73270193.26245187","70984030.62883371","52489278.508821316","45357162.5611882","46849313.77712411","58537702.16566311","43011745.61974986","44351366.50718324","54903569.85234918","55550696.04578637","78728484.64498511","109492504.75621742","80034579.95554182","75600432.03277722","126853526.2076088","117296267.17724314","186302370.3842942","205311118.3928149","92920157.31573524"
"Goiás","106924459.74802539","104696057.15844414","112468660.96818407","105610924.91023809","103228786.95738038","105930640.30941577","91085918.34568027","88816311.06187038","85697137.99226871","86953060.64075826","88661770.91141853","85129567.56392474","88369768.64222902","93237001.04593548","97447994.23550408","87316640.39609797","79876666.66367868","77582912.2489461","78300066.89494482","78059133.36780606","81279872.28531551","79777209.72844885","84951469.09240024","86265927.22177176","87231517.3258291","87424880.85823096","83628724.38317564","84387238.98482083","83654647.90696114","87382690.46974139","90726655.86524054","90019822.89279239","91769903.7415894","92831967.00270793"
"Tocantins","69300795.38282482","67487709.24482816","86088958.88361841","77780888.12323108","63666403.36572651","90412274.96837756","71482143.17849167","63849491.936114885","57737789.67188217","65038750.90093858","66027489.659185976","66316784.859653346","48916585.43142732","55738055.29021429","61917440.66253219","56947947.248624496","52503125.28671882","44219433.26622662","46772189.75061848","44483069.85807884","44872110.80833943","44885461.37868205","55314213.587015964","65699347.19761991","59116179.48717386","63567866.07087045","56644452.48272732","53437796.96086264","54706052.220899045","58412571.12682642","56669772.946212806","52967157.03872103","65002932.883404","88702881.56467251"
