Empresa de Pesquisa Energética - EPE,,,,,,,,,,,,,
Consumo de energia elétrica na rede (MWh),,,,,,,,,,,,,
Sistema SIMPLES,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2026*,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,15.794.018,15.727.145,,,,,,,,,,,31.521.163
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.639.350,1.502.820,,,,,,,,,,,3.142.170
Nordeste,2.344.404,2.287.755,,,,,,,,,,,4.632.159
Sudeste,7.842.274,7.949.285,,,,,,,,,,,15.791.559
Sul,3.053.171,3.067.094,,,,,,,,,,,6.120.265
Centro-Oeste,914.819,920.191,,,,,,,,,,,1.835.010
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,7.989,7.206,,,,,,,,,,,15.195
Norte,2.188.318,2.016.867,,,,,,,,,,,4.205.185
Nordeste,1.736.660,1.718.337,,,,,,,,,,,3.454.998
Sudeste/C. Oeste,8.807.880,8.917.641,,,,,,,,,,,17.725.521
Sul,3.053.171,3.067.094,,,,,,,,,,,6.120.265
*Dados preliminares (última atualização: 2026-03-23),,,,,,,,,,,,,
,2025,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL INDUSTRIAL,15.996.092,15.899.769,16.744.020,16.627.205,16.939.409,16.556.064,16.745.566,17.043.807,16.652.668,17.001.311,16.766.547,15.885.900,198.858.359
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,1.576.224,1.406.553,1.517.488,1.543.207,1.559.029,1.528.092,1.577.606,1.658.078,1.600.431,1.675.527,1.650.929,1.632.164,18.925.327
Nordeste,2.387.848,2.372.629,2.450.725,2.467.628,2.583.872,2.486.011,2.496.472,2.549.125,2.492.546,2.455.338,2.463.496,2.388.486,29.594.175
Sudeste,8.102.811,8.118.351,8.518.597,8.404.254,8.539.708,8.395.098,8.439.645,8.547.379,8.383.786,8.521.366,8.459.659,7.978.358,100.409.012
Sul,3.010.243,3.085.637,3.300.913,3.237.296,3.302.166,3.179.505,3.265.052,3.264.737,3.193.288,3.332.534,3.202.267,2.929.207,38.302.844
Centro-Oeste,918.967,916.599,956.297,974.821,954.634,967.358,966.791,1.024.489,982.618,1.016.547,990.197,957.685,11.627.002
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,10.315,9.557,10.072,10.691,10.475,9.873,9.834,11.123,11.283,8.029,7.940,7.847,117.039
Norte,2.148.734,1.946.493,2.113.586,2.147.195,2.192.607,2.113.074,2.177.041,2.256.585,2.181.054,2.281.987,2.246.157,2.222.426,26.026.938
Nordeste,1.755.716,1.774.795,1.792.464,1.804.396,1.888.091,1.839.271,1.833.973,1.885.591,1.847.044,1.785.779,1.807.268,1.739.048,21.753.436
Sudeste/C. Oeste,9.071.085,9.083.287,9.526.984,9.427.627,9.546.070,9.414.342,9.459.666,9.625.772,9.419.999,9.592.981,9.502.915,8.987.373,112.658.102
Sul,3.010.243,3.085.637,3.300.913,3.237.296,3.302.166,3.179.505,3.265.052,3.264.737,3.193.288,3.332.534,3.202.267,2.929.207,38.302.844
,,,,,,,,,,,,,
,2024,,,,,,,,,,,,
