 Morbidade Hospitalar do SUS - por local de internação - Brasil
Internações por Unidade da Federação
Capítulo CID-10: X.   Doenças do aparelho respiratório
Período:2017
"Unidade da Federação";"Internações"
"11 Rondônia";13257
"12 Acre";2935
"13 Amazonas";15699
"14 Roraima";3559
"15 Pará";57127
"16 Amapá";3473
"17 Tocantins";7663
"21 Maranhão";48057
"22 Piauí";25596
"23 Ceará";49430
"24 Rio Grande do Norte";11665
"25 Paraíba";22055
"26 Pernambuco";45886
"27 Alagoas";13980
"28 Sergipe";7260
"29 Bahia";83383
"31 Minas Gerais";125962
"32 Espírito Santo";22949
"33 Rio de Janeiro";47606
"35 São Paulo";234502
"41 Paraná";97064
"42 Santa Catarina";55224
"43 Rio Grande do Sul";96516
"50 Mato Grosso do Sul";19241
"51 Mato Grosso";19373
"52 Goiás";37611
"53 Distrito Federal";15375
"Total";1182448
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
