Regiao,Ano,area_colhida
Norte,2003,2513956
Norte,2004,2742700
Norte,2005,2985427
Norte,2006,2809351
Norte,2007,2723684
Norte,2008,2749383
Norte,2009,2661981
Norte,2010,2681045
Norte,2011,2758133
Norte,2012,2810656
Norte,2013,2931294
Norte,2014,3203976
Norte,2015,3608854
Norte,2016,3697561
Norte,2017,4016030
Norte,2018,4031375
Norte,2019,4287907
Nordeste,2003,11319267
Nordeste,2004,11969992
Nordeste,2005,12167035
Nordeste,2006,12294145
Nordeste,2007,12375439
Nordeste,2008,12661388
Nordeste,2009,12665814
Nordeste,2010,11954526
Nordeste,2011,12830976
Nordeste,2012,10643371
Nordeste,2013,10745108
Nordeste,2014,11881156
Nordeste,2015,11552189
Nordeste,2016,10467273
Nordeste,2017,10742821
Nordeste,2018,10786520
Nordeste,2019,10680679
Centro-Oeste,2003,12940905
Centro-Oeste,2004,15349152
Centro-Oeste,2005,16428890
Centro-Oeste,2006,15231406
Centro-Oeste,2007,15153903
Centro-Oeste,2008,16435788
Centro-Oeste,2009,16423460
Centro-Oeste,2010,17305581
Centro-Oeste,2011,18424104
Centro-Oeste,2012,20552346
Centro-Oeste,2013,22846477
Centro-Oeste,2014,24418293
Centro-Oeste,2015,25131430
Centro-Oeste,2016,25412209
Centro-Oeste,2017,27463325
Centro-Oeste,2018,27492465
Centro-Oeste,2019,29250836
Sudeste,2003,11708001
Sudeste,2004,12245806
Sudeste,2005,12511061
Sudeste,2006,12415172
Sudeste,2007,12354890
Sudeste,2008,13220309
Sudeste,2009,13123958
Sudeste,2010,13342852
Sudeste,2011,13689879
Sudeste,2012,13813762
Sudeste,2013,14152469
Sudeste,2014,14517388
Sudeste,2015,14552639
Sudeste,2016,14735142
Sudeste,2017,14758505
Sudeste,2018,14629281
Sudeste,2019,15074707
Sul,2003,19177720
Sul,2004,19691073
Sul,2005,18553923
Sul,2006,18599402
Sul,2007,19058537
Sul,2008,19549683
Sul,2009,19702070
Sul,2010,19266599
Sul,2011,19569004
Sul,2012,19557008
Sul,2013,20619031
Sul,2014,21350988
Sul,2015,21142453
Sul,2016,21147577
Sul,2017,21218795
Sul,2018,20959334
Sul,2019,21315889
