Estado,Ano,area_destinada_colheita
AC,2003,113362
AC,2004,132684
AC,2005,134582
AC,2006,126861
AC,2007,123843
AC,2008,113055
AC,2009,94431
AC,2010,128842
AC,2011,132201
AC,2012,146928
AC,2013,130776
AC,2014,123511
AC,2015,116587
AC,2016,107294
AC,2017,100543
AC,2018,85330
AC,2019,81903
AC,2020,81580
AC,2021,86542
AC,2022,92287
AC,2023,97469
AL,2003,594087
AL,2004,652276
AL,2005,651244
AL,2006,640693
AL,2007,642400
AL,2008,675646
AL,2009,650778
AL,2010,612287
AL,2011,599116
AL,2012,527082
AL,2013,578948
AL,2014,567446
AL,2015,461581
AL,2016,455548
AL,2017,521140
AL,2018,449703
AL,2019,490459
AL,2020,464077
AL,2021,508836
AL,2022,491705
AL,2023,482001
AM,2003,194653
AM,2004,181457
AM,2005,210503
AM,2006,209508
AM,2007,183247
AM,2008,181694
AM,2009,184691
AM,2010,176815
AM,2011,188120
AM,2012,188131
AM,2013,176155
AM,2014,137654
AM,2015,124636
AM,2016,123625
AM,2017,131242
AM,2018,123073
AM,2019,123121
AM,2020,123071
AM,2021,116071
AM,2022,120030
AM,2023,121758
AP,2003,13687
AP,2004,14667
AP,2005,16635
AP,2006,16289
AP,2007,17871
AP,2008,21079
AP,2009,23520
AP,2010,25387
AP,2011,25564
AP,2012,24688
AP,2013,28120
AP,2014,43172
AP,2015,34499
AP,2016,37651
AP,2017,42260
AP,2018,36828
AP,2019,37334
AP,2020,38679
AP,2021,28338
AP,2022,27260
AP,2023,25889
BA,2003,4392635
BA,2004,4671230
BA,2005,4833599
BA,2006,4839023
BA,2007,4808188
BA,2008,4860058
BA,2009,4775228
BA,2010,4691980
BA,2011,4904232
BA,2012,4397344
BA,2013,4515117
BA,2014,4902220
BA,2015,5032413
BA,2016,4574500
BA,2017,4075524
BA,2018,4127884
BA,2019,4122259
BA,2020,4139407
BA,2021,4200124
BA,2022,4377527
BA,2023,4590303
CE,2003,1965360
CE,2004,1895118
CE,2005,1744157
CE,2006,1858769
CE,2007,1942332
CE,2008,2013268
CE,2009,2076295
CE,2010,1769310
CE,2011,2084945
CE,2012,1732234
CE,2013,1364914
CE,2014,1505816
CE,2015,1508414
CE,2016,1438053
CE,2017,1521932
CE,2018,1471602
CE,2019,1372558
CE,2020,1385916
CE,2021,1408135
CE,2022,1441140
CE,2023,1455450
DF,2003,101584
DF,2004,113182
DF,2005,125313
DF,2006,124876
DF,2007,128440
DF,2008,132665
DF,2009,122142
DF,2010,119198
DF,2011,127644
DF,2012,134905
DF,2013,136665
DF,2014,175023
DF,2015,161011
DF,2016,166489
DF,2017,162894
DF,2018,165073
DF,2019,165445
DF,2020,171565
DF,2021,166865
DF,2022,173955
DF,2023,175965
ES,2003,799522
ES,2004,795406
ES,2005,789128
ES,2006,769873
ES,2007,747425
ES,2008,733297
ES,2009,726017
ES,2010,692698
ES,2011,694209
ES,2012,687664
ES,2013,675834
ES,2014,658030
ES,2015,652000
ES,2016,616289
ES,2017,584314
ES,2018,567298
ES,2019,558348
ES,2020,565189
ES,2021,578997
ES,2022,599842
ES,2023,609649
GO,2003,3749736
GO,2004,4307207
GO,2005,4325931
GO,2006,4076892
GO,2007,3955025
GO,2008,4225916
GO,2009,4446666
GO,2010,4510098
GO,2011,4926515
GO,2012,5282270
GO,2013,5635281
GO,2014,6135462
GO,2015,6125209
GO,2016,6345627
GO,2017,6436529
GO,2018,6351417
GO,2019,6676276
GO,2020,6935757
GO,2021,7356576
GO,2022,7680156
GO,2023,8454190
MA,2003,1445559
MA,2004,1553114
MA,2005,1640447
MA,2006,1644964
MA,2007,1657791
MA,2008,1667117
MA,2009,1624638
MA,2010,1767136
MA,2011,1788427
MA,2012,1830190
MA,2013,1878533
MA,2014,2006386
MA,2015,1829731
MA,2016,1597851
MA,2017,1810133
MA,2018,1821742
MA,2019,1722710
MA,2020,1719056
MA,2021,1810803
MA,2022,1921234
MA,2023,2015448
MG,2003,4449691
MG,2004,4813757
MG,2005,4822071
MG,2006,4724964
MG,2007,4598477
MG,2008,4740522
MG,2009,4789178
MG,2010,4844245
MG,2011,4951412
MG,2012,5099200
MG,2013,5293965
MG,2014,5466054
MG,2015,5427622
MG,2016,5534141
MG,2017,5296173
MG,2018,5351586
MG,2019,5627003
MG,2020,5833639
MG,2021,5997992
MG,2022,6265143
MG,2023,6680134
MS,2003,2578318
MS,2004,3014269
MS,2005,3121663
MS,2006,3009887
MS,2007,3038492
MS,2008,3243122
MS,2009,3211129
MS,2010,3250262
MS,2011,3502153
MS,2012,3818904
MS,2013,4323407
MS,2014,4557084
MS,2015,4749875
MS,2016,4945499
MS,2017,5284089
MS,2018,5476878
MS,2019,5794832
MS,2020,5956921
MS,2021,6405809
MS,2022,6974244
MS,2023,7276597
MT,2003,6523913
MT,2004,7991662
MT,2005,9050078
MT,2006,8063237
MT,2007,8048076
MT,2008,8915914
MT,2009,8822248
MT,2010,9433038
MT,2011,9941283
MT,2012,11319172
MT,2013,12779375
MT,2014,13613926
MT,2015,14143427
MT,2016,14551044
MT,2017,15619823
MT,2018,15523336
MT,2019,16640532
MT,2020,17188641
MT,2021,17968089
MT,2022,19166183
MT,2023,21260667
PA,2003,1233147
PA,2004,1263017
PA,2005,1302745
PA,2006,1239015
PA,2007,1205822
PA,2008,1148344
PA,2009,1103914
PA,2010,1049384
PA,2011,1051399
PA,2012,1081692
PA,2013,1149309
PA,2014,1251235
PA,2015,1469263
PA,2016,1567967
PA,2017,1728939
PA,2018,1703136
PA,2019,1820267
PA,2020,2015845
PA,2021,2159317
PA,2022,2313220
PA,2023,2548193
PB,2003,626809
PB,2004,685470
PB,2005,601405
PB,2006,648222
PB,2007,600432
PB,2008,661212
PB,2009,653811
PB,2010,443010
PB,2011,566622
PB,2012,361361
PB,2013,310872
PB,2014,370136
PB,2015,326463
PB,2016,362119
PB,2017,342576
PB,2018,377166
PB,2019,357769
PB,2020,369192
PB,2021,335845
PB,2022,361010
PB,2023,368101
PE,2003,1112445
PE,2004,1118503
PE,2005,1132351
PE,2006,1135448
PE,2007,1134392
PE,2008,1309192
PE,2009,1196777
PE,2010,1103551
PE,2011,1150366
PE,2012,1002129
PE,2013,581755
PE,2014,881201
PE,2015,840431
PE,2016,858635
PE,2017,799091
PE,2018,788874
PE,2019,747128
PE,2020,792490
PE,2021,807500
PE,2022,817089
PE,2023,796509
PI,2003,971563
PI,2004,1084632
PI,2005,1159464
PI,2006,1169358
PI,2007,1199610
PI,2008,1200622
PI,2009,1280968
PI,2010,1262864
PI,2011,1388514
PI,2012,1417580
PI,2013,1505270
PI,2014,1540770
PI,2015,1560403
PI,2016,1491070
PI,2017,1630546
PI,2018,1650461
PI,2019,1638585
PI,2020,1659140
PI,2021,1764444
PI,2022,1887023
PI,2023,2001442
PR,2003,9509707
PR,2004,9670002
PR,2005,9501058
PR,2006,9246533
PR,2007,9403434
PR,2008,9810281
PR,2009,10073403
PR,2010,9708216
PR,2011,9913867
PR,2012,10034795
PR,2013,10499661
PR,2014,10714999
PR,2015,10626220
PR,2016,10732006
PR,2017,10658069
PR,2018,10477235
PR,2019,10671580
PR,2020,10866307
PR,2021,11122224
PR,2022,11547310
PR,2023,11473566
RJ,2003,257496
RJ,2004,268302
RJ,2005,264086
RJ,2006,257134
RJ,2007,219874
RJ,2008,222319
RJ,2009,219074
RJ,2010,218458
RJ,2011,192515
RJ,2012,208847
RJ,2013,188580
RJ,2014,170898
RJ,2015,148585
RJ,2016,123978
RJ,2017,116185
RJ,2018,109610
RJ,2019,113402
RJ,2020,112457
RJ,2021,116056
RJ,2022,113605
RJ,2023,105293
RN,2003,506022
RN,2004,569510
RN,2005,458771
RN,2006,484473
RN,2007,469986
RN,2008,484982
RN,2009,497939
RN,2010,346147
RN,2011,425544
RN,2012,337166
RN,2013,327161
RN,2014,343238
RN,2015,310452
RN,2016,280160
RN,2017,296147
RN,2018,311030
RN,2019,323868
RN,2020,327500
RN,2021,296355
RN,2022,318033
RN,2023,338543
RO,2003,535671
RO,2004,566031
RO,2005,609435
RO,2006,604103
RO,2007,593956
RO,2008,622051
RO,2009,630866
RO,2010,652066
RO,2011,738579
RO,2012,642024
RO,2013,586068
RO,2014,577738
RO,2015,613623
RO,2016,626280
RO,2017,685672
RO,2018,657384
RO,2019,740890
RO,2020,813919
RO,2021,849795
RO,2022,961956
RO,2023,1081561
RR,2003,52405
RR,2004,66749
RR,2005,64824
RR,2006,62185
RR,2007,49395
RR,2008,53643
RR,2009,42343
RR,2010,42193
RR,2011,49664
RR,2012,52154
RR,2013,62428
RR,2014,60450
RR,2015,65534
RR,2016,64121
RR,2017,58398
RR,2018,75980
RR,2019,81597
RR,2020,94052
RR,2021,123274
RR,2022,150608
RR,2023,175947
RS,2003,7917179
RS,2004,8370555
RS,2005,8226591
RS,2006,7959244
RS,2007,7982391
RS,2008,8091935
RS,2009,8071101
RS,2010,7942567
RS,2011,8129853
RS,2012,8270505
RS,2013,8761460
RS,2014,9048410
RS,2015,8966521
RS,2016,8934034
RS,2017,9072148
RS,2018,9071071
RS,2019,9220201
RS,2020,9531819
RS,2021,9963356
RS,2022,10567993
RS,2023,10704734
SC,2003,1795474
SC,2004,1837158
SC,2005,1823602
SC,2006,1793520
SC,2007,1770711
SC,2008,1759961
SC,2009,1731420
SC,2010,1668183
SC,2011,1628166
SC,2012,1564718
SC,2013,1596595
SC,2014,1622739
SC,2015,1594041
SC,2016,1577861
SC,2017,1569090
SC,2018,1517154
SC,2019,1509001
SC,2020,1511365
SC,2021,1573172
SC,2022,1671667
SC,2023,1677831
SE,2003,360191
SE,2004,373884
SE,2005,367645
SE,2006,432473
SE,2007,403710
SE,2008,409269
SE,2009,418407
SE,2010,435574
SE,2011,412022
SE,2012,379994
SE,2013,385751
SE,2014,384523
SE,2015,379996
SE,2016,361499
SE,2017,339822
SE,2018,279276
SE,2019,274263
SE,2020,278043
SE,2021,298468
SE,2022,301529
SE,2023,313278
SP,2003,6243991
SP,2004,6478502
SP,2005,6647645
SP,2006,6822615
SP,2007,6822416
SP,2008,7577086
SP,2009,7635055
SP,2010,7811108
SP,2011,7932815
SP,2012,7942375
SP,2013,8128852
SP,2014,8333777
SP,2015,8479029
SP,2016,8631378
SP,2017,8824386
SP,2018,8654621
SP,2019,8871308
SP,2020,8863353
SP,2021,8811248
SP,2022,9074692
SP,2023,9216795
TO,2003,416776
TO,2004,548622
TO,2005,694340
TO,2006,603749
TO,2007,590994
TO,2008,653554
TO,2009,619555
TO,2010,669974
TO,2011,712276
TO,2012,737451
TO,2013,839562
TO,2014,1038966
TO,2015,1203703
TO,2016,1232549
TO,2017,1282545
TO,2018,1361447
TO,2019,1427218
TO,2020,1544996
TO,2021,1736410
TO,2022,1885158
TO,2023,2152343
