Regiao,Ano,area_destinada_colheita
Norte,2003,2559701
Norte,2004,2773227
Norte,2005,3033064
Norte,2006,2861710
Norte,2007,2765128
Norte,2008,2793420
Norte,2009,2699320
Norte,2010,2744661
Norte,2011,2897803
Norte,2012,2873068
Norte,2013,2972418
Norte,2014,3232726
Norte,2015,3627845
Norte,2016,3759487
Norte,2017,4029599
Norte,2018,4043178
Norte,2019,4312330
Nordeste,2003,11974671
Nordeste,2004,12603737
Nordeste,2005,12589083
Nordeste,2006,12853423
Nordeste,2007,12858841
Nordeste,2008,13281366
Nordeste,2009,13174841
Nordeste,2010,12431859
Nordeste,2011,13319788
Nordeste,2012,11985080
Nordeste,2013,11448321
Nordeste,2014,12501736
Nordeste,2015,12249884
Nordeste,2016,11419435
Nordeste,2017,11336911
Nordeste,2018,11277738
Nordeste,2019,11049599
Centro-Oeste,2003,12953551
Centro-Oeste,2004,15426320
Centro-Oeste,2005,16622985
Centro-Oeste,2006,15274892
Centro-Oeste,2007,15170033
Centro-Oeste,2008,16517617
Centro-Oeste,2009,16602185
Centro-Oeste,2010,17312596
Centro-Oeste,2011,18497595
Centro-Oeste,2012,20555251
Centro-Oeste,2013,22874728
Centro-Oeste,2014,24481495
Centro-Oeste,2015,25179522
Centro-Oeste,2016,26008659
Centro-Oeste,2017,27503335
Centro-Oeste,2018,27516704
Centro-Oeste,2019,29277085
Sudeste,2003,11750700
Sudeste,2004,12355967
Sudeste,2005,12522930
Sudeste,2006,12574587
Sudeste,2007,12388192
Sudeste,2008,13273224
Sudeste,2009,13369324
Sudeste,2010,13566509
Sudeste,2011,13770951
Sudeste,2012,13938086
Sudeste,2013,14287231
Sudeste,2014,14628759
Sudeste,2015,14707236
Sudeste,2016,14905786
Sudeste,2017,14821058
Sudeste,2018,14683115
Sudeste,2019,15170061
Sul,2003,19222360
Sul,2004,19877715
Sul,2005,19551251
Sul,2006,18999297
Sul,2007,19156536
Sul,2008,19662177
Sul,2009,19875924
Sul,2010,19318966
Sul,2011,19671886
Sul,2012,19870018
Sul,2013,20857716
Sul,2014,21386148
Sul,2015,21186782
Sul,2016,21243901
Sul,2017,21299307
Sul,2018,21065460
Sul,2019,21400782
