Estado,Ano,co2
PA,2004,653297314.7413914
MT,2004,762821853.360859
MA,2004,133753348.13305517
MG,2004,170381652.50843292
SP,2004,146021891.99440938
BA,2004,104088325.01396386
RO,2004,242541760.3535624
AM,2004,66312347.85298964
GO,2004,97447994.23550408
TO,2004,61917440.66253219
RS,2004,107589636.7525062
MS,2004,101031387.39866675
PR,2004,71829999.92332953
RJ,2004,46166640.43136058
SC,2004,43680233.66178747
PI,2004,29382988.269366115
CE,2004,20122183.02909877
AC,2004,40282813.86555734
ES,2004,19084663.88716426
RR,2004,24162160.017892003
PE,2004,16542134.67837483
PB,2004,8500014.339999562
RN,2004,8891416.935815625
AL,2004,6286507.056859797
SE,2004,6141980.421704538
DF,2004,5475240.438554969
AP,2004,3607639.937653594
PA,2005,523687283.1517514
MT,2005,589493006.6995733
MA,2005,131997429.68565242
MG,2005,172947359.73980796
SP,2005,145157570.72385743
BA,2005,93857893.34964857
RO,2005,231991686.2037705
AM,2005,73270193.26245187
GO,2005,87316640.39609797
TO,2005,56947947.248624496
RS,2005,95650214.01356956
MS,2005,90999457.24720035
PR,2005,68644087.9694134
RJ,2005,50018314.39492731
SC,2005,42841603.23409397
PI,2005,23279707.61732841
CE,2005,26390888.06591555
AC,2005,40444407.87108589
ES,2005,18568918.93998621
RR,2005,24035493.494614244
PE,2005,17408452.040077873
PB,2005,8248333.271842221
RN,2005,8868473.38929151
AL,2005,6369346.406209422
SE,2005,6548271.887909802
DF,2005,5428789.737660328
AP,2005,3067738.9136022897
PA,2006,500050764.85917467
MT,2006,364946741.0739909
MA,2006,129652575.89574766
MG,2006,169466448.81133482
SP,2006,144171923.48076034
BA,2006,88719774.75486091
RO,2006,158943481.1861388
AM,2006,70984030.62883371
GO,2006,79876666.66367868
TO,2006,52503125.28671882
RS,2006,95662750.77312468
MS,2006,85784389.3417899
PR,2006,68493432.40967335
RJ,2006,49224171.55069079
SC,2006,45541852.74427284
PI,2006,17550320.46911688
CE,2006,23603929.845816977
AC,2006,31526472.967413463
ES,2006,19701738.844961293
RR,2006,20780790.58303016
PE,2006,18111170.214767866
PB,2006,8596459.182632335
RN,2006,9006523.750882152
AL,2006,6482842.839555724
SE,2006,6792736.869265614
DF,2006,5381673.187549988
AP,2006,3161695.913556805
PA,2007,425265223.96253306
MT,2007,272362867.65698934
MA,2007,134014497.03667632
MG,2007,171395024.75335884
SP,2007,151309190.18845114
BA,2007,86318363.79549345
RO,2007,127546365.28189331
