Regiao,Ano,co2
Norte,2003,1118438397.8410723
Norte,2004,1092121477.4315786
Norte,2005,953444750.1459006
Norte,2006,837950361.4248663
Norte,2007,700982120.8882346
Norte,2008,674707424.6316849
Norte,2009,503623014.5905739
Norte,2010,470868452.2574748
Norte,2011,449755510.95575786
Norte,2012,459404032.3569918
Norte,2013,539280022.9523995
Norte,2014,526428541.85392684
Norte,2015,624711827.9385444
Norte,2016,721329189.1666116
Norte,2017,612966794.4285709
Norte,2018,642872250.7059838
Norte,2019,859644313.1543547
Norte,2020,798915924.7742057
Norte,2021,1036570212.4230937
Norte,2022,977404881.7145598
Norte,2023,657780973.3850548
Nordeste,2003,327738056.760094
Nordeste,2004,333708897.87823826
Nordeste,2005,322968795.71387583
Nordeste,2006,308516333.82264614
Nordeste,2007,313938111.66765374
Nordeste,2008,326787156.851903
Nordeste,2009,282280564.0125591
Nordeste,2010,285909868.2871973
Nordeste,2011,288535734.42002374
Nordeste,2012,337942275.21620536
Nordeste,2013,342832516.2930148
Nordeste,2014,320602738.59434813
Nordeste,2015,316219814.3513675
Nordeste,2016,303806742.11893916
Nordeste,2017,291322259.79991513
Nordeste,2018,293398424.72427404
Nordeste,2019,325441606.92634386
Nordeste,2020,347657202.37948436
Nordeste,2021,369704561.5194067
Nordeste,2022,417221710.17546713
Nordeste,2023,455671606.6556241
Centro-Oeste,2003,1066709863.7759569
Centro-Oeste,2004,966776475.4335848
Centro-Oeste,2005,773237894.080532
Centro-Oeste,2006,535989470.2670095
Centro-Oeste,2007,429297377.22262985
Centro-Oeste,2008,450539890.000968
Centro-Oeste,2009,329628275.0329062
Centro-Oeste,2010,333135672.63474053
Centro-Oeste,2011,378035375.7558898
Centro-Oeste,2012,360064413.36865366
Centro-Oeste,2013,417629576.2164331
Centro-Oeste,2014,394767019.0233152
Centro-Oeste,2015,417293760.94772017
Centro-Oeste,2016,376415036.54739475
Centro-Oeste,2017,384260637.3538158
Centro-Oeste,2018,392549059.72822803
Centro-Oeste,2019,445275635.31330144
Centro-Oeste,2020,415495185.2683964
Centro-Oeste,2021,440663368.8038199
Centro-Oeste,2022,506134802.67884403
Centro-Oeste,2023,477885259.77345717
Sudeste,2003,383059626.9906358
Sudeste,2004,381654848.82136714
Sudeste,2005,386692163.7985789
Sudeste,2006,382564282.68774724
Sudeste,2007,405434115.0227343
Sudeste,2008,413003580.04381543
Sudeste,2009,396579568.4955556
Sudeste,2010,417605544.7764421
Sudeste,2011,431520246.5097626
Sudeste,2012,448110089.7118719
Sudeste,2013,465946551.7317709
Sudeste,2014,453478974.7073171
Sudeste,2015,442291416.4221604
Sudeste,2016,416426547.0521906
Sudeste,2017,414659790.04808974
Sudeste,2018,402134804.2355496
Sudeste,2019,402176952.8030947
Sudeste,2020,396293203.7321683
Sudeste,2021,424346555.0782313
Sudeste,2022,415365610.6178701
Sudeste,2023,422305577.69553065
Sul,2003,235967667.25612497
Sul,2004,223099870.3376232
Sul,2005,207135905.21707693
Sul,2006,209698035.92707086
Sul,2007,202513529.30116802
Sul,2008,217247938.27764836
Sul,2009,209732627.8807113
Sul,2010,217803024.21985745
Sul,2011,220071985.31824487
Sul,2012,224674274.96471718
Sul,2013,244324321.54255936
Sul,2014,231009889.99373
Sul,2015,231490700.37434748
Sul,2016,225056980.29170874
Sul,2017,224011157.61888033
Sul,2018,219413447.42154425
Sul,2019,229419108.439879
Sul,2020,218332336.93111897
Sul,2021,245024611.59330434
Sul,2022,218898795.35839844
Sul,2023,212009341.23831785
