Bloco,Estado,Tipo_variavel,Variavel,Coeficiente
Mudanca de Uso da Terra,AC,Causas,area_colhida,-0.5503759398496241
Mudanca de Uso da Terra,AC,Causas,area_destinada_colheita,-0.5082706766917292
Mudanca de Uso da Terra,AC,Causas,consumo_energia_industrial,0.15789473684210525
Mudanca de Uso da Terra,AC,Causas,desmat_area,0.9578947368421054
Mudanca de Uso da Terra,AC,Causas,frota,0.42255639097744363
Mudanca de Uso da Terra,AC,Causas,frp_anual_queimadas,0.6962406015037594
Mudanca de Uso da Terra,AC,Causas,rebanho,0.45563909774436084
Mudanca de Uso da Terra,AC,Causas,venda_comb,0.17593984962406017
Mudanca de Uso da Terra,AM,Causas,area_colhida,-0.7398496240601502
Mudanca de Uso da Terra,AM,Causas,area_destinada_colheita,-0.7969924812030074
Mudanca de Uso da Terra,AM,Causas,consumo_energia_industrial,0.14736842105263157
Mudanca de Uso da Terra,AM,Causas,desmat_area,0.9924812030075187
Mudanca de Uso da Terra,AM,Causas,frota,0.7112781954887217
Mudanca de Uso da Terra,AM,Causas,frp_anual_queimadas,0.8736842105263156
Mudanca de Uso da Terra,AM,Causas,rebanho,0.29624060150375936
Mudanca de Uso da Terra,AM,Causas,venda_comb,-0.6541353383458646
Mudanca de Uso da Terra,AP,Causas,area_colhida,0.18796992481203004
Mudanca de Uso da Terra,AP,Causas,area_destinada_colheita,0.19849624060150375
Mudanca de Uso da Terra,AP,Causas,consumo_energia_industrial,-0.15037593984962402
Mudanca de Uso da Terra,AP,Causas,desmat_area,0.7127819548872181
Mudanca de Uso da Terra,AP,Causas,frota,0.23157894736842105
Mudanca de Uso da Terra,AP,Causas,frp_anual_queimadas,0.42556390977443603
Mudanca de Uso da Terra,AP,Causas,rebanho,0.14887218045112782
Mudanca de Uso da Terra,AP,Causas,venda_comb,0.42105263157894735
Mudanca de Uso da Terra,MA,Causas,area_colhida,0.13844130068163002
Mudanca de Uso da Terra,MA,Causas,area_destinada_colheita,0.12355411758311782
Mudanca de Uso da Terra,MA,Causas,consumo_energia_industrial,0.16691729323308271
Mudanca de Uso da Terra,MA,Causas,desmat_area,0.910826807951439
Mudanca de Uso da Terra,MA,Causas,frota,0.07030493485514352
Mudanca de Uso da Terra,MA,Causas,frp_anual_queimadas,0.1133986213352467
Mudanca de Uso da Terra,MA,Causas,rebanho,0.3619735677757199
Mudanca de Uso da Terra,MA,Causas,venda_comb,-0.06766917293233082
Mudanca de Uso da Terra,MT,Causas,area_colhida,-0.06616541353383458
Mudanca de Uso da Terra,MT,Causas,area_destinada_colheita,-0.06616541353383458
Mudanca de Uso da Terra,MT,Causas,consumo_energia_industrial,-0.10375939849624059
Mudanca de Uso da Terra,MT,Causas,desmat_area,0.9759398496240601
Mudanca de Uso da Terra,MT,Causas,frota,-0.13082706766917293
Mudanca de Uso da Terra,MT,Causas,frp_anual_queimadas,0.437593984962406
Mudanca de Uso da Terra,MT,Causas,rebanho,-0.14736842105263157
Mudanca de Uso da Terra,MT,Causas,venda_comb,-0.09172932330827067
