Estado,Ano,co2,frota,rebanho,venda_comb,desmat_area,temp_media,chuva_media,area_destinada_colheita,area_colhida,consumo_energia_industrial,frp_anual_queimadas
AC,2004,40282813.86555734,64666.0,2062690.0,241370.336636,68122.26734515422,,,132684,127724,24098.941,330151.8
AC,2005,40444407.87108589,72098.0,2313185.0,251890.433377,68959.52354790678,,,134582,118877,25560.691,862647.0
AC,2006,31526472.967413463,81521.0,2452915.0,221779.256016,52219.24667134981,,,126861,122597,26255.905000000002,266925.4
AC,2007,25845620.818597216,93949.0,2315798.0,228866.222564519,43060.619031298826,,,123843,122576,30371.0,310171.7
AC,2008,26276979.38679711,109621.0,2425687.0,246808.174261368,43104.7879522765,26.26751662971175,901.8000000000001,113055,110388,32480.0,207572.7
AC,2009,26394153.086990736,128193.0,2511285.0,255607.497638228,45687.06043129266,25.117843653427947,2083.6,94431,86796,33012.0,100815.4
AC,2010,28110621.14654153,149400.0,2578460.0,299497.45838948997,46940.511446130455,25.6112,1142.6,128842,123620,35797.0,324009.1
AC,2011,23278814.49024828,168309.0,2549497.0,321449.01477377,38713.872934948755,25.197874528625302,1736.8000000000002,132201,127455,37939.0,95329.8
AC,2012,22605305.48905868,186016.0,2634467.0,386840.97997766,36530.48715433954,25.093381934161066,2414.2,146928,127095,43825.0,153155.2
AC,2013,26905714.99219597,203028.0,2697489.0,336132.86309486,43014.9282278258,25.110268891979604,1878.0,130776,128954,37296.0,152704.7
AC,2014,28995881.645117607,220310.0,2799673.0,357850.1504165,46439.84440584109,24.967562036326424,1323.8,123511,117668,36908.0,157344.2
AC,2015,31383914.81297627,235966.0,2916207.0,355522.76407392,51724.22827251587,25.547657512116317,1451.0,116587,107599,39087.0,192535.7
AC,2016,27922279.35916194,247438.0,2998969.0,348471.689941,46115.29532371832,25.89155134741442,1093.2,107294,106538,39560.0,333761.5
AC,2017,31309979.82577073,259413.0,2895028.0,343732.318183,51331.69037283935,25.677102102102104,1334.6,100543,97553,38419.0,204946.0
AC,2018,34754042.8644408,273036.0,3303633.0,341181.664552,54805.790763836594,25.773966720343534,325.4,85330,82836,35453.6,238340.9
AC,2019,60929334.7563185,287418.0,3509682.0,346585.221261,108755.48640799586,25.50096774193548,1305.4,81903,79177,37322.636999999995,296964.4
AC,2020,53933078.575428426,300437.0,3802112.0,349577.65558,108358.53325743445,,,81580,79458,40909.286,360631.6
AC,2021,65622205.597804174,313891.0,4047283.0,351196.771289,115937.93458421642,,,86542,84133,44530.272999999994,393754.8
AC,2022,74012850.03375398,327460.0,4635381.0,371687.251449,137572.78461400737,,,92287,89950,47905.835,598630.3
AC,2023,29615770.90129041,342469.0,4908956.0,374085.171144,72735.3981776368,,,97469,95060,47034.168000000005,215084.9
AL,2004,6286507.056859797,230149.0,893922.0,671618.1919856,16356.29246808471,,,652276,613794,1841966.0,6578.6
AL,2005,6369346.406209422,249637.0,985422.0,666603.8874354,13088.862588684091,,,651244,641377,1892728.8220000002,11561.8
AL,2006,6482842.839555724,272506.0,1029352.0,690852.6199013,13785.172152508556,25.82156349354778,850.5999999999999,640693,636540,1865882.106,9836.6
AL,2007,7781294.539184935,301532.0,1112125.0,704856.322635388,12799.506168017582,,,642400,634174,1927325.0,10244.9
AL,2008,6744390.368901899,335620.0,1162005.0,755459.898232114,14953.944956060766,25.67604743083004,110.4,675646,671947,1985292.0,14710.8
AL,2009,6971497.232141186,376894.0,1193021.0,784407.354191262,12625.512884966998,25.52478828107118,2208.2,650778,645213,1777849.0,13686.9
AL,2010,8453119.611956337,427077.0,1219578.0,879907.963090983,13891.36943156125,25.47657142857143,1876.6,612287,593627,1895848.0,11690.6
