Regiao,Ano,co2,frota,rebanho,internacoes,venda_comb,desmat_area,temp_media,chuva_media,pib_pc,area_destinada_colheita,area_colhida,consumo_energia_industrial
Norte,2003,1118438397.8410723,10936866.0,33929590.0,18438,5940892.1416526,2054646.212837431,26.578518796053455,1395.9500000000003,5804.886808971639,2559701,2513956,
Norte,2004,1092121477.4315786,12438171.0,39787138.0,18449,6551163.577978009,2085201.0292719807,26.406339839612645,1368.2333333333333,6752.202023615271,2773227,2742700,10868596.0
Norte,2005,953444750.1459006,16693994.0,41489002.0,17529,6820556.24435865,1791060.3193805995,26.885198832650413,1454.6666666666667,7247.039747442454,3033064,2985427,11221324.0
Norte,2006,837950361.4248663,18794419.0,41060384.0,18439,7225569.80946515,1561976.4512286894,27.06499973329066,1731.5777777777776,8079.560455713954,2861710,2809351,11845143.0
Norte,2007,700982120.8882346,21284488.0,37865772.0,21031,8073965.315451988,1294435.0306810504,26.529106217121605,1367.0083333333332,9275.041380416375,2765128,2723684,12437209.0
Norte,2008,674707424.6316849,24298898.0,39119455.0,122844,8492087.058562757,1270819.437791951,26.38884534293336,1059.5024269005846,10346.693710086223,2793420,2749383,12793280.0
Norte,2009,503623014.5905739,27675440.0,40437159.0,143050,9222783.385907149,922579.6484946436,26.295894599489746,1935.2316666666666,10821.253808260648,2699320,2661981,12369967.0
Norte,2010,470868452.2574748,31450642.0,42100695.0,137427,10314673.86135849,839709.9004665236,26.689294824465446,1449.6459732664994,13040.472525281237,2744661,2681045,13264499.0
Norte,2011,449755510.95575786,35643384.0,43238310.0,137131,10045247.53686146,823532.5254631278,26.141166966760125,1576.5800340136054,14975.155232607241,2897803,2758133,14225763.0
Norte,2012,459404032.3569918,39923486.0,43815346.0,125205,10811819.669506801,908322.8313272574,26.15843592838463,1610.9478260869564,15849.281177427913,2873068,2810656,14274809.0
Norte,2013,539280022.9523995,44232726.0,44705617.0,127815,11000257.377319729,1160067.6947238236,26.210492365104148,1706.1238785369221,17188.778398416343,2972418,2931294,14176522.0
