Estado,Ano,CO2_bruto,Populacao,Frota_total,Rebanho_total,IDHM,Internacoes_Respiratorias,Area_Desmatada km2
PA,2003,608576583.8282247,6574993,3714773.0,36109671.0,,12161,208772.6
MT,2003,855284253.3758879,2651335,5051205.0,51078551.0,,3991,289850.1
MA,2003,164667249.64629912,5873655,2685546.0,22563169.0,,5548,119466.1
MG,2003,167301742.40370828,18553312,37590759.0,134546657.0,,22818,306635.1
SP,2003,146800254.33689168,38709320,123377575.0,212942864.0,,49982,193609.0
BA,2003,84748306.33352494,13435612,10273595.0,62850467.0,,36170,215389.0
RO,2003,292689689.09121555,1455907,2241019.0,18138494.0,,1453,72255.6
AM,2003,77110985.25675566,3031068,2349638.0,6646842.0,,1799,29282.6
GO,2003,93237001.04593548,5306459,11757418.0,66204007.0,,6404,190289.8
TO,2003,55738055.29021429,1230181,1390424.0,12701646.0,,2012,67344.9
RS,2003,111192948.73298568,10510992,29749860.0,170023016.0,,23379,142279.4
MS,2003,113028629.60283875,2169688,4987420.0,53279138.0,,3823,197286.3
PR,2003,79711635.08076134,9906866,28530829.0,178410579.0,,14654,144300.3
RJ,2003,45619612.05062234,14879118,28278703.0,13990708.0,,17141,27952.5
SC,2003,45063083.44237796,5607233,18039138.0,167587209.0,,7104,50262.8
PI,2003,16572944.191229677,2923725,2242304.0,18537521.0,,3221,29457.6
CE,2003,18344161.914715774,7758441,8003001.0,34353435.0,,10742,41353.0
AC,2003,54572496.37341327,600595,558600.0,3846365.0,,434,17508.9
ES,2003,23338018.199413463,3250219,6164461.0,20256386.0,,3476,32718.6
RR,2003,26744834.449736044,357302,511219.0,2101920.0,,188,7550.099999999999
PE,2003,15646603.026266938,8161862,8930821.0,36450868.0,,14891,42654.5
PB,2003,7642490.225419879,3518595,3118727.0,12327129.0,,5805,21623.9
RN,2003,7688761.341214719,2888058,3260259.0,9210001.0,,2316,15124.7
AL,2003,6401866.397181401,2917664,2104782.0,7970852.0,,3435,20181.9
SE,2003,6025673.68424151,1874613,2053914.0,6677965.0,,1834,15055.1
DF,2003,5159979.75129468,2189789,7103465.0,10974923.0,,3850,3187.2
