Regiao,Ano,desmat_area
Norte,2003,2054646.212837431
Norte,2004,2085201.0292719807
Norte,2005,1791060.3193805995
Norte,2006,1561976.4512286894
Norte,2007,1294435.0306810504
Norte,2008,1270819.437791951
Norte,2009,922579.6484946436
Norte,2010,839709.9004665236
Norte,2011,823532.5254631278
Norte,2012,908322.8313272574
Norte,2013,1160067.6947238236
Norte,2014,1096426.2407802255
Norte,2015,1271664.7036470056
Norte,2016,1330950.6571709306
Norte,2017,1072338.2338435906
Norte,2018,1103987.6400746407
Norte,2019,1619841.7105981924
Norte,2020,1561170.882812512
Norte,2021,1771845.84564793
Norte,2022,1836317.888910604
Norte,2023,1655696.6098862556
Nordeste,2003,1164521.3104278378
Nordeste,2004,1388781.0086508966
Nordeste,2005,1197600.2373308293
Nordeste,2006,1143359.1775680843
Nordeste,2007,1122168.815444818
Nordeste,2008,1151276.5384153847
Nordeste,2009,1044153.737737628
Nordeste,2010,973463.4859561716
Nordeste,2011,1007988.3551351618
Nordeste,2012,1297456.5095700922
Nordeste,2013,1264901.9267000437
Nordeste,2014,1071194.0826720763
Nordeste,2015,1074586.0606574647
Nordeste,2016,947368.9104284543
Nordeste,2017,931689.0390448606
Nordeste,2018,996662.9952635668
Nordeste,2019,1201528.1027059688
Nordeste,2020,1351405.1185823195
Nordeste,2021,1339803.0974710155
Nordeste,2022,1620151.1158238975
Nordeste,2023,1853022.6215226464
Centro-Oeste,2003,2266259.6372885723
Centro-Oeste,2004,1903360.312306636
Centro-Oeste,2005,1442270.7978872554
Centro-Oeste,2006,981040.9116844713
Centro-Oeste,2007,747724.402690375
Centro-Oeste,2008,799807.2722770814
Centro-Oeste,2009,526168.3683229123
Centro-Oeste,2010,500194.9942612126
Centro-Oeste,2011,586229.927450903
Centro-Oeste,2012,600138.7368004208
Centro-Oeste,2013,713393.3262483426
Centro-Oeste,2014,633486.2785886044
Centro-Oeste,2015,660574.6989788634
Centro-Oeste,2016,578494.4474549012
Centro-Oeste,2017,565622.4248524654
Centro-Oeste,2018,557396.0583979189
Centro-Oeste,2019,730991.0331383911
Centro-Oeste,2020,711418.1376324841
Centro-Oeste,2021,726260.2422044512
Centro-Oeste,2022,854170.9923703119
Centro-Oeste,2023,909150.1750824214
Sudeste,2003,404739.35504216317
Sudeste,2004,422135.9389048888
Sudeste,2005,349979.2537734256
Sudeste,2006,336178.3113031858
Sudeste,2007,320130.90279797994
Sudeste,2008,313633.1670543093
Sudeste,2009,302442.3358030455
Sudeste,2010,291692.83567534795
Sudeste,2011,302584.098096399
Sudeste,2012,331942.08956342755
Sudeste,2013,352140.9919514279
Sudeste,2014,326260.9407730773
Sudeste,2015,299859.73030208156
Sudeste,2016,264420.6157203125
Sudeste,2017,253767.43996656506
Sudeste,2018,237860.25057742925
Sudeste,2019,259878.25262979136
Sudeste,2020,279877.64430171513
Sudeste,2021,284487.7940841429
Sudeste,2022,334101.1437972716
Sudeste,2023,334416.4505892335
Sul,2003,492350.0409809146
Sul,2004,467628.761158447
Sul,2005,359845.3683994325
Sul,2006,332009.79764214467
Sul,2007,307029.9959020568
Sul,2008,365247.3094449455
Sul,2009,308443.6836910156
Sul,2010,388980.709363836
Sul,2011,365334.542591205
Sul,2012,371723.28870020056
Sul,2013,414447.777762572
Sul,2014,322121.1340281679
Sul,2015,333827.05104789993
Sul,2016,272822.4704793334
Sul,2017,317185.8706055541
Sul,2018,315879.6000226499
Sul,2019,421939.1093233886
Sul,2020,342989.4748222345
Sul,2021,443444.10847721546
Sul,2022,367405.0302581729
Sul,2023,283136.3888441648
