Estado,Ano,Area_Desmatada km2
AC,2003,17508.9
AC,2004,18290.7
AC,2005,19005.6
AC,2006,19236.9
AC,2007,19399.5
AC,2008,19688.4
AC,2009,19850.1
AC,2010,20115.6
AC,2011,20411.2
AC,2012,20681.7
AC,2013,20881.9
AC,2014,21230.5
AC,2015,21453.4
AC,2016,21819.5
AC,2017,22065.1
AC,2018,22492.0
AL,2003,20181.9
AL,2004,20664.0
AL,2005,21270.0
AL,2006,21876.0
AL,2007,22052.4
AL,2008,22228.8
AL,2009,22344.7
AL,2010,22460.6
AL,2011,22530.1
AL,2012,22636.4
AL,2013,22742.7
AL,2014,22817.7
AL,2015,22862.8
AL,2016,22907.9
AL,2017,22979.1
AL,2018,23017.7
AM,2003,29282.6
AM,2004,30401.1
AM,2005,31261.4
AM,2006,31977.6
AM,2007,32514.6
AM,2008,33126.8
AM,2009,33470.7
AM,2010,34016.1
AM,2011,34523.4
AM,2012,34994.3
AM,2013,35475.6
AM,2014,36027.9
AM,2015,36715.9
AM,2016,37719.6
AM,2017,38728.9
AM,2018,39780.6
AP,2003,2296.3
AP,2004,2397.8
AP,2005,2458.0
AP,2006,2506.1
AP,2007,2598.7
AP,2008,2698.6
AP,2009,2745.9
AP,2010,2818.0
AP,2011,2834.4
AP,2012,2854.0
AP,2013,2878.4
AP,2014,2907.4
AP,2015,2926.5
AP,2016,2938.9
AP,2017,2956.1
AP,2018,2980.6
BA,2003,215389.0
BA,2004,223093.9
BA,2005,228296.9
BA,2006,233499.9
BA,2007,238172.3
BA,2008,242844.7
BA,2009,245185.3
BA,2010,247525.9
BA,2011,250832.1
BA,2012,253797.3
BA,2013,256529.0
BA,2014,258962.1
BA,2015,261161.3
BA,2016,262929.1
BA,2017,264529.8
BA,2018,265968.5
CE,2003,41353.0
CE,2004,44092.7
CE,2005,46007.5
CE,2006,47922.3
CE,2007,49432.1
CE,2008,50941.9
CE,2009,52041.1
CE,2010,53140.3
CE,2011,54064.0
CE,2012,54957.5
CE,2013,55851.0
CE,2014,56679.6
CE,2015,57322.0
CE,2016,57964.4
CE,2017,58572.8
CE,2018,59131.8
DF,2003,3187.2
DF,2004,3269.6
DF,2005,3297.1
DF,2006,3324.6
DF,2007,3335.2
DF,2008,3345.8
DF,2009,3358.2
DF,2010,3370.6
DF,2011,3377.1
DF,2012,3383.6
DF,2013,3394.8
DF,2014,3415.2
DF,2015,3420.6
DF,2016,3423.2
DF,2017,3428.8
DF,2018,3437.0
ES,2003,32718.6
ES,2004,32988.7
ES,2005,33093.8
ES,2006,33198.9
ES,2007,33315.0
ES,2008,33431.1
ES,2009,33455.9
ES,2010,33480.7
ES,2011,33507.7
ES,2012,33532.1
ES,2013,33556.5
ES,2014,33586.2
ES,2015,33612.1
ES,2016,33638.0
ES,2017,33647.7
ES,2018,33663.2
GO,2003,190289.8
GO,2004,196527.8
GO,2005,199024.8
GO,2006,201521.8
GO,2007,203048.6
GO,2008,204575.4
GO,2009,206055.8
GO,2010,207536.2
GO,2011,208529.1
GO,2012,209523.0
GO,2013,211058.3
GO,2014,212263.7
GO,2015,213500.3
GO,2016,214173.6
GO,2017,215038.7
GO,2018,215783.4
MA,2003,119466.1
MA,2004,123261.9
MA,2005,126313.3
MA,2006,129120.7
MA,2007,132388.9
MA,2008,136076.0
MA,2009,138264.8
MA,2010,140243.6
MA,2011,141856.9
MA,2012,143410.7
MA,2013,145273.5
MA,2014,147300.3
MA,2015,149090.1
MA,2016,150503.2
MA,2017,152162.3
MA,2018,153832.9
MG,2003,306635.1
MG,2004,312884.2
MG,2005,316928.9
MG,2006,320973.6
MG,2007,324363.4
MG,2008,327753.2
MG,2009,329609.2
MG,2010,331465.2
MG,2011,333320.6
MG,2012,335354.9
MG,2013,337971.1
MG,2014,340487.4
MG,2015,342006.8
MG,2016,342825.3
MG,2017,343576.8
MG,2018,344608.7
MS,2003,197286.3
MS,2004,200315.6
MS,2005,202508.80000000002
MS,2006,204702.0
MS,2007,205875.1
MS,2008,207048.2
MS,2009,208045.9
MS,2010,209043.6
MS,2011,209784.7
MS,2012,210447.1
MS,2013,211237.9
MS,2014,211759.5
MS,2015,212754.7
MS,2016,213482.8
MS,2017,214238.5
MS,2018,214816.2
MT,2003,289850.1
MT,2004,306007.7
MT,2005,316847.1
MT,2006,322032.7
MT,2007,326452.4
MT,2008,331679.9
MT,2009,333599.7
MT,2010,335456.7
MT,2011,337543.3
MT,2012,339371.8
MT,2013,342434.0
MT,2014,344656.7
MT,2015,347927.5
MT,2016,350789.7
MT,2017,353393.4
MT,2018,356052.4
PA,2003,208772.6
PA,2004,218095.8
PA,2005,226422.1
PA,2006,231644.4
PA,2007,237293.7
PA,2008,242992.3
PA,2009,246603.9
PA,2010,249971.6
PA,2011,252479.19999999998
PA,2012,254177.1
PA,2013,256445.0
PA,2014,258429.9
PA,2015,260734.6
PA,2016,263786.6
PA,2017,266359.4
PA,2018,269160.9
PB,2003,21623.9
PB,2004,22621.0
PB,2005,23646.4
PB,2006,24671.8
