Regiao,Ano,internacoes
Norte,2003,18438
Norte,2004,18449
Norte,2005,17529
Norte,2006,18439
Norte,2007,21031
Norte,2008,122844
Norte,2009,143050
Norte,2010,137427
Norte,2011,137131
Norte,2012,125205
Norte,2013,127815
Norte,2014,117762
Norte,2015,103841
Norte,2016,93942
Norte,2017,103713
Norte,2018,102696
Norte,2019,104451
Nordeste,2003,83962
Nordeste,2004,76841
Nordeste,2005,71626
Nordeste,2006,63070
Nordeste,2007,66768
Nordeste,2008,382162
Nordeste,2009,432291
Nordeste,2010,396153
Nordeste,2011,400122
Nordeste,2012,341468
Nordeste,2013,343129
Nordeste,2014,326744
Nordeste,2015,324234
Nordeste,2016,278167
Nordeste,2017,307312
Nordeste,2018,305175
Nordeste,2019,313129
Centro-Oeste,2003,18068
Centro-Oeste,2004,19169
Centro-Oeste,2005,18549
Centro-Oeste,2006,18890
Centro-Oeste,2007,18486
Centro-Oeste,2008,124005
Centro-Oeste,2009,135105
Centro-Oeste,2010,122975
Centro-Oeste,2011,114827
Centro-Oeste,2012,106012
Centro-Oeste,2013,109437
Centro-Oeste,2014,100545
Centro-Oeste,2015,96380
Centro-Oeste,2016,91107
Centro-Oeste,2017,91600
Centro-Oeste,2018,88419
Centro-Oeste,2019,95390
Sudeste,2003,93417
Sudeste,2004,96290
Sudeste,2005,98058
Sudeste,2006,100719
Sudeste,2007,104620
Sudeste,2008,473921
Sudeste,2009,510155
Sudeste,2010,495035
Sudeste,2011,483992
Sudeste,2012,466619
Sudeste,2013,461334
Sudeste,2014,444150
Sudeste,2015,440885
Sudeste,2016,434685
Sudeste,2017,431019
Sudeste,2018,434008
Sudeste,2019,433911
Sul,2003,45137
Sul,2004,43894
Sul,2005,43937
Sul,2006,44979
Sul,2007,46356
Sul,2008,283774
Sul,2009,314352
Sul,2010,300915
Sul,2011,283905
Sul,2012,276062
Sul,2013,274722
Sul,2014,258734
Sul,2015,252296
Sul,2016,259940
Sul,2017,248804
Sul,2018,247514
Sul,2019,244069
