Estado,Ano,consumo_energia_industrial
AC,2004,24098.941
AC,2005,25560.691
AC,2006,26255.905000000002
AC,2007,30371.0
AC,2008,32480.0
AC,2009,33012.0
AC,2010,35797.0
AC,2011,37939.0
AC,2012,43825.0
AC,2013,37296.0
AC,2014,36908.0
AC,2015,39087.0
AC,2016,39560.0
AC,2017,38419.0
AC,2018,35453.6
AC,2019,37322.636999999995
AC,2020,40909.286
AC,2021,44530.272999999994
AC,2022,47905.835
AC,2023,47034.168000000005
AL,2004,1841966.0
AL,2005,1892728.8220000002
AL,2006,1865882.106
AL,2007,1927325.0
AL,2008,1985292.0
AL,2009,1777849.0
AL,2010,1895848.0
AL,2011,1627283.0
AL,2012,1945027.0
AL,2013,2072949.0
AL,2014,2127647.0
AL,2015,2055743.0
AL,2016,2041443.0
AL,2017,1970954.0
AL,2018,1667385.215
AL,2019,1019567.299
AL,2020,728269.2250000001
AL,2021,1293936.7719999999
AL,2022,1537221.573
AL,2023,1730015.772
AM,2004,1323256.379
AM,2005,1413683.446
AM,2006,1533970.6510000003
AM,2007,1584036.0
AM,2008,1663361.0
AM,2009,1480710.0
AM,2010,1651843.0
AM,2011,1775360.0
AM,2012,1816286.0
AM,2013,1783888.0
AM,2014,1786929.0
AM,2015,1670261.0
AM,2016,1551799.0
AM,2017,1594564.0
AM,2018,1642697.1860000002
AM,2019,1653878.0
AM,2020,1661406.901
AM,2021,1826236.5140000002
AM,2022,1945213.0
AM,2023,2024316.0
AP,2004,23236.0
AP,2005,32421.282
AP,2006,48121.78
AP,2007,50938.0
AP,2008,53002.0
AP,2009,37809.0
AP,2010,34637.0
AP,2011,34702.0
AP,2012,36580.0
AP,2013,38007.0
AP,2014,39221.0
AP,2015,37372.0
AP,2016,47403.0
AP,2017,61741.0
AP,2018,87699.916
AP,2019,106093.0
AP,2020,106653.16700000002
AP,2021,109250.611
AP,2022,103092.57400000001
AP,2023,42435.496
BA,2004,9485278.227
BA,2005,9639908.942
BA,2006,9587888.208
BA,2007,10256728.0
BA,2008,10769582.0
BA,2009,9472812.0
BA,2010,10334244.0
BA,2011,9334121.0
BA,2012,9602149.0
BA,2013,9902533.0
BA,2014,10683989.0
BA,2015,9450773.175
BA,2016,8628020.235
BA,2017,8964530.919000002
BA,2018,9281484.498
BA,2019,9237346.946
BA,2020,9172165.451
BA,2021,9454169.801
BA,2022,9605372.518
BA,2023,9619949.117
CE,2004,1863272.455
