Regiao,Ano,consumo_energia_industrial
Norte,2004,10868596
Norte,2005,11221324
Norte,2006,11845143
Norte,2007,12437209
Norte,2008,12793280
Norte,2009,12369967
Norte,2010,13264499
Norte,2011,14225763
Norte,2012,14274809
Norte,2013,14176522
Norte,2014,14830220
Norte,2015,14885816
Norte,2016,15040844
Norte,2017,15204158
Norte,2018,13211871
Norte,2019,13418475
Nordeste,2004,25507973
Nordeste,2005,26308674
Nordeste,2006,27146401
Nordeste,2007,28877916
Nordeste,2008,29602549
Nordeste,2009,27488528
Nordeste,2010,29587859
Nordeste,2011,28739878
Nordeste,2012,28902272
Nordeste,2013,28761270
Nordeste,2014,27096183
Nordeste,2015,23930460
Nordeste,2016,22759558
Nordeste,2017,22448048
Nordeste,2018,22405125
Nordeste,2019,22046459
Centro-Oeste,2004,5140116
Centro-Oeste,2005,5343158
Centro-Oeste,2006,5386731
Centro-Oeste,2007,5697189
Centro-Oeste,2008,6197896
Centro-Oeste,2009,6443307
Centro-Oeste,2010,6544523
Centro-Oeste,2011,7607356
Centro-Oeste,2012,8544373
Centro-Oeste,2013,9474782
Centro-Oeste,2014,9534567
Centro-Oeste,2015,8874908
Centro-Oeste,2016,8991856
Centro-Oeste,2017,9078253
Centro-Oeste,2018,9425046
Centro-Oeste,2019,9651268
Sudeste,2004,89750008
Sudeste,2005,91617392
Sudeste,2006,92896387
Sudeste,2007,99976047
Sudeste,2008,98515188
Sudeste,2009,88533748
Sudeste,2010,100505727
Sudeste,2011,102380586
Sudeste,2012,100787152
Sudeste,2013,100236879
Sudeste,2014,95449174
Sudeste,2015,90741755
Sudeste,2016,88006388
Sudeste,2017,88727968
Sudeste,2018,92270353
Sudeste,2019,89389361
Sul,2004,25061975
Sul,2005,25174603
Sul,2006,25905716
Sul,2007,27380413
Sul,2008,28725145
Sul,2009,26963112
Sul,2010,29575699
Sul,2011,30621965
Sul,2012,30916233
Sul,2013,32334567
Sul,2014,32569025
Sul,2015,31287785
Sul,2016,31211359
Sul,2017,32571509
Sul,2018,33134205
Sul,2019,33573651
