Estado,Ano,frota
AC,2004,619227.0
AC,2005,822157.0
AC,2006,920403.0
AC,2007,1054174.0
AC,2008,1224553.0
AC,2009,1426943.0
AC,2010,1667751.0
AC,2011,1911389.0
AC,2012,2132433.0
AC,2013,2340496.0
AC,2014,2540962.0
AC,2015,2748052.0
AC,2016,2907446.0
AC,2017,3044514.0
AC,2018,3200860.0
AC,2019,3366976.0
AC,2020,3525381.0
AC,2021,3687877.0
AC,2022,3849141.0
AC,2023,4024411.0
AL,2004,2235888.0
AL,2005,2884319.0
AL,2006,3140060.0
AL,2007,3448575.0
AL,2008,3825185.0
AL,2009,4281791.0
AL,2010,4830809.0
AL,2011,5463634.0
AL,2012,6161214.0
AL,2013,6847944.0
AL,2014,7514633.0
AL,2015,8126790.0
AL,2016,8586549.0
AL,2017,9012868.0
AL,2018,9457281.0
AL,2019,10075230.0
AL,2020,10586245.0
AL,2021,11145759.0
AL,2022,11724845.0
AL,2023,12393159.0
AM,2004,2545715.0
AM,2005,3167879.0
AM,2006,3808352.0
AM,2007,4235137.0
AM,2008,4747556.0
AM,2009,5274963.0
AM,2010,5895797.0
AM,2011,6589571.0
AM,2012,7252732.0
AM,2013,7914442.0
AM,2014,8576090.0
AM,2015,9167960.0
AM,2016,9523711.0
AM,2017,9812458.0
AM,2018,10198209.0
AM,2019,10679526.0
AM,2020,11179353.0
AM,2021,11676426.0
AM,2022,12260334.0
AM,2023,12977465.0
AP,2004,461740.0
AP,2005,868590.0
AP,2006,727285.0
AP,2007,839879.0
AP,2008,965887.0
AP,2009,1111641.0
AP,2010,1276034.0
AP,2011,1468267.0
AP,2012,1618371.0
AP,2013,1749707.0
AP,2014,1888251.0
AP,2015,2020179.0
AP,2016,2103583.0
AP,2017,2169782.0
AP,2018,2262330.0
AP,2019,2373867.0
AP,2020,2487660.0
AP,2021,2605604.0
AP,2022,2700911.0
AP,2023,2808946.0
BA,2004,11158108.0
BA,2005,14558516.0
BA,2006,16047790.0
BA,2007,17810308.0
BA,2008,20057085.0
BA,2009,22667629.0
BA,2010,25665076.0
BA,2011,28954012.0
BA,2012,32246767.0
BA,2013,35663713.0
BA,2014,38871021.0
BA,2015,41704175.0
BA,2016,43839818.0
BA,2017,45701808.0
BA,2018,47658909.0
BA,2019,49798764.0
BA,2020,51821648.0
BA,2021,53972422.0
BA,2022,56076355.0
BA,2023,58537153.0
CE,2004,8563238.0
CE,2005,10988259.0
CE,2006,11963606.0
CE,2007,13276471.0
CE,2008,14852313.0
CE,2009,16651143.0
CE,2010,18940034.0
CE,2011,21643391.0
CE,2012,24322280.0
CE,2013,26924477.0
CE,2014,29463731.0
CE,2015,31833486.0
CE,2016,33618419.0
CE,2017,35066728.0
CE,2018,36467048.0
CE,2019,37980953.0
CE,2020,39349280.0
CE,2021,40769510.0
CE,2022,42097363.0
CE,2023,43500130.0
DF,2004,7489684.0
DF,2005,9466589.0
DF,2006,10119186.0
DF,2007,11021871.0
DF,2008,12046553.0
DF,2009,13083266.0
DF,2010,14161678.0
DF,2011,15307276.0
DF,2012,16321232.0
DF,2013,17389919.0
DF,2014,18363256.0
DF,2015,19183466.0
DF,2016,19809493.0
DF,2017,20391926.0
DF,2018,21064939.0
DF,2019,21835156.0
DF,2020,22559550.0
DF,2021,23102650.0
DF,2022,23615315.0
DF,2023,24209776.0
ES,2004,6517718.0
ES,2005,8441946.0
ES,2006,9225601.0
ES,2007,10269656.0
ES,2008,11614368.0
ES,2009,12938836.0
ES,2010,14165135.0
ES,2011,15361281.0
ES,2012,16643634.0
ES,2013,17924229.0
ES,2014,19090189.0
ES,2015,20102806.0
ES,2016,20792329.0
ES,2017,21419141.0
ES,2018,22134207.0
ES,2019,22953537.0
ES,2020,23732061.0
ES,2021,24590030.0
ES,2022,25551514.0
ES,2023,26683620.0
GO,2004,12427856.0
GO,2005,16075543.0
GO,2006,17445440.0
GO,2007,19246402.0
GO,2008,21698142.0
GO,2009,24139583.0
GO,2010,26601234.0
GO,2011,29385992.0
GO,2012,32137828.0
GO,2013,34879279.0
GO,2014,37416513.0
GO,2015,39487607.0
GO,2016,40932268.0
GO,2017,42140606.0
GO,2018,43546483.0
GO,2019,45089928.0
GO,2020,46627908.0
GO,2021,48300902.0
GO,2022,50066346.0
GO,2023,51979209.0
MA,2004,3018379.0
MA,2005,4051893.0
MA,2006,4615335.0
MA,2007,5332399.0
MA,2008,6230461.0
MA,2009,7312352.0
MA,2010,8698182.0
MA,2011,10409376.0
MA,2012,12087610.0
MA,2013,13723643.0
MA,2014,15290186.0
MA,2015,16747847.0
MA,2016,17875103.0
MA,2017,18797918.0
MA,2018,19703727.0
MA,2019,20622605.0
MA,2020,21481163.0
MA,2021,22470594.0
MA,2022,23476174.0
MA,2023,24595608.0
MG,2004,39436910.0
MG,2005,50322474.0
MG,2006,54150033.0
MG,2007,59089231.0
MG,2008,65509820.0
MG,2009,71877143.0
MG,2010,78661542.0
MG,2011,86341615.0
MG,2012,93887803.0
MG,2013,101067951.0
MG,2014,107595816.0
MG,2015,113317029.0
MG,2016,118099588.0
MG,2017,122887763.0
MG,2018,128092794.0
MG,2019,134080696.0
MG,2020,138951048.0
MG,2021,143224608.0
MG,2022,148839878.0
MG,2023,154381897.0
MS,2004,5340854.0
MS,2005,6875876.0
MS,2006,7434681.0
MS,2007,8101754.0
MS,2008,8952067.0
MS,2009,9815201.0
MS,2010,10763731.0
MS,2011,11840460.0
MS,2012,12904408.0
MS,2013,13990659.0
MS,2014,15024120.0
MS,2015,15908511.0
MS,2016,16565878.0
MS,2017,17187130.0
MS,2018,17873271.0
MS,2019,18613671.0
MS,2020,19285869.0
MS,2021,19915359.0
MS,2022,20523819.0
MS,2023,21235616.0
MT,2004,5498544.0
MT,2005,7386776.0
MT,2006,8079514.0
MT,2007,8875202.0
MT,2008,10115738.0
MT,2009,11481354.0
MT,2010,12840276.0
MT,2011,14313117.0
MT,2012,15777155.0
MT,2013,17261353.0
MT,2014,18765494.0
MT,2015,20097016.0
MT,2016,21121141.0
MT,2017,22063317.0
MT,2018,23181412.0
MT,2019,24545194.0
MT,2020,25797366.0
MT,2021,27085067.0
MT,2022,28379353.0
MT,2023,29717182.0
PA,2004,4141150.0
PA,2005,5556741.0
PA,2006,6190436.0
PA,2007,6992227.0
PA,2008,8091164.0
PA,2009,9335316.0
PA,2010,10688385.0
PA,2011,12246884.0
PA,2012,14006433.0
PA,2013,15922197.0
PA,2014,17790113.0
PA,2015,19538916.0
PA,2016,20940448.0
PA,2017,22055705.0
PA,2018,23134212.0
PA,2019,24308710.0
PA,2020,25477022.0
PA,2021,26908282.0
PA,2022,28309493.0
PA,2023,29945065.0
PB,2004,3374016.0
PB,2005,4344075.0
PB,2006,4763406.0
PB,2007,5344609.0
PB,2008,6095154.0
PB,2009,6897927.0
PB,2010,7819564.0
PB,2011,8920055.0
PB,2012,10007864.0
PB,2013,10969914.0
PB,2014,11900283.0
PB,2015,12793571.0
PB,2016,13753475.0
PB,2017,14414583.0
PB,2018,15061807.0
PB,2019,15745521.0
PB,2020,16396679.0
PB,2021,17129028.0
PB,2022,17755421.0
PB,2023,18481627.0
PE,2004,9449278.0
PE,2005,12049837.0
PE,2006,12992119.0
PE,2007,14205549.0
PE,2008,15758977.0
PE,2009,17543317.0
PE,2010,19749759.0
PE,2011,22310050.0
PE,2012,24846456.0
PE,2013,27214206.0
PE,2014,29359685.0
PE,2015,31154568.0
PE,2016,32661543.0
PE,2017,33684183.0
PE,2018,34832246.0
PE,2019,36134906.0
PE,2020,37293262.0
PE,2021,38564443.0
PE,2022,39767676.0
PE,2023,41144076.0
PI,2004,2530298.0
PI,2005,3336691.0
PI,2006,3754704.0
PI,2007,4245932.0
PI,2008,4855953.0
PI,2009,5588752.0
PI,2010,6471399.0
PI,2011,7483566.0
PI,2012,8570391.0
PI,2013,9651888.0
PI,2014,10776866.0
PI,2015,11778686.0
PI,2016,12574611.0
PI,2017,13254383.0
PI,2018,13908553.0
PI,2019,14561719.0
PI,2020,15055445.0
PI,2021,15648057.0
PI,2022,16155916.0
PI,2023,16794548.0
PR,2004,30209328.0
PR,2005,39013473.0
PR,2006,41988272.0
PR,2007,45396792.0
PR,2008,49677680.0
PR,2009,53715824.0
PR,2010,57782566.0
PR,2011,62326457.0
PR,2012,66895297.0
PR,2013,71469402.0
PR,2014,75805275.0
PR,2015,79337876.0
PR,2016,81667724.0
PR,2017,83752649.0
PR,2018,86221256.0
PR,2019,89177495.0
PR,2020,92048916.0
PR,2021,94878861.0
PR,2022,97600233.0
PR,2023,100429038.0
RJ,2004,29500886.0
RJ,2005,36970690.0
RJ,2006,38900452.0
RJ,2007,41359045.0
RJ,2008,44603553.0
RJ,2009,47795832.0
RJ,2010,51437802.0
RJ,2011,55515480.0
RJ,2012,59812380.0
RJ,2013,64115666.0
RJ,2014,68291725.0
RJ,2015,71961569.0
RJ,2016,74605531.0
RJ,2017,76590972.0
RJ,2018,78572420.0
RJ,2019,80974392.0
RJ,2020,83030930.0
RJ,2021,85212385.0
RJ,2022,87285209.0
RJ,2023,89661684.0
RN,2004,3543365.0
RN,2005,4625655.0
RN,2006,5122461.0
RN,2007,5782399.0
RN,2008,6586768.0
RN,2009,7351866.0
RN,2010,8210415.0
RN,2011,9140805.0
RN,2012,10067859.0
RN,2013,11006721.0
RN,2014,11915201.0
RN,2015,12757491.0
RN,2016,13613003.0
RN,2017,14304853.0
RN,2018,14937015.0
RN,2019,15560401.0
RN,2020,16101246.0
RN,2021,16690231.0
RN,2022,17279083.0
RN,2023,17909811.0
RO,2004,2474332.0
RO,2005,3300295.0
RO,2006,3658241.0
RO,2007,4092593.0
RO,2008,4682838.0
RO,2009,5398487.0
RO,2010,6175971.0
RO,2011,7020752.0
RO,2012,7843346.0
RO,2013,8570421.0
RO,2014,9243132.0
RO,2015,9874958.0
RO,2016,10374017.0
RO,2017,10792041.0
RO,2018,11249815.0
RO,2019,11768819.0
RO,2020,12234954.0
RO,2021,12707690.0
RO,2022,13182045.0
RO,2023,13658822.0
RR,2004,565629.0
RR,2005,734817.0
RR,2006,808684.0
RR,2007,929083.0
RR,2008,1080927.0
RR,2009,1228222.0
RR,2010,1399028.0
RR,2011,1572353.0
RR,2012,1735057.0
RR,2013,1891348.0
RR,2014,2047456.0
RR,2015,2202885.0
RR,2016,2328703.0
RR,2017,2440907.0
RR,2018,2550761.0
RR,2019,2656529.0
RR,2020,2766949.0
RR,2021,2889814.0
RR,2022,3025331.0
RR,2023,3176971.0
RS,2004,30844565.0
RS,2005,39115195.0
RS,2006,41322092.0
RS,2007,43885591.0
RS,2008,47091171.0
RS,2009,50481865.0
RS,2010,53919006.0
RS,2011,57712082.0
RS,2012,61817567.0
RS,2013,66045807.0
RS,2014,70138263.0
RS,2015,73428081.0
RS,2016,75818542.0
RS,2017,77991293.0
RS,2018,80443740.0
RS,2019,83066259.0
RS,2020,85362276.0
RS,2021,87513791.0
RS,2022,89511566.0
RS,2023,91684450.0
SC,2004,19238901.0
SC,2005,25038571.0
SC,2006,27298609.0
SC,2007,29773396.0
SC,2008,32606837.0
SC,2009,35331645.0
SC,2010,38285834.0
SC,2011,41420192.0
SC,2012,44499104.0
SC,2013,47455975.0
SC,2014,50329675.0
SC,2015,52753682.0
SC,2016,54548922.0
SC,2017,56326678.0
SC,2018,58501194.0
SC,2019,60917519.0
SC,2020,63283213.0
SC,2021,65489703.0
SC,2022,67566524.0
SC,2023,69742229.0
SE,2004,2187884.0
SE,2005,2807270.0
SE,2006,3031243.0
SE,2007,3324018.0
SE,2008,3684849.0
SE,2009,4154814.0
SE,2010,4715466.0
SE,2011,5336103.0
SE,2012,5935609.0
SE,2013,6488993.0
SE,2014,7021251.0
SE,2015,7522152.0
SE,2016,8060258.0
SE,2017,8472040.0
SE,2018,8823815.0
SE,2019,9204116.0
SE,2020,9556821.0
SE,2021,9938872.0
SE,2022,10333055.0
SE,2023,10799406.0
SP,2004,128463724.0
SP,2005,162234554.0
SP,2006,173106332.0
SP,2007,186557149.0
SP,2008,203063666.0
SP,2009,218327214.0
SP,2010,234079337.0
SP,2011,250792782.0
SP,2012,267092688.0
SP,2013,282110308.0
SP,2014,296330500.0
SP,2015,308327798.0
SP,2016,317472010.0
SP,2017,326240899.0
SP,2018,336373564.0
SP,2019,347626303.0
SP,2020,357128996.0
SP,2021,365284119.0
SP,2022,373549761.0
SP,2023,384048466.0
TO,2004,1630378.0
TO,2005,2243515.0
TO,2006,2681018.0
TO,2007,3141395.0
TO,2008,3505973.0
TO,2009,3899868.0
TO,2010,4347676.0
TO,2011,4834168.0
TO,2012,5335114.0
TO,2013,5844115.0
TO,2014,6342291.0
TO,2015,6830908.0
TO,2016,7183021.0
TO,2017,7451516.0
TO,2018,7742314.0
TO,2019,8072288.0
TO,2020,8413801.0
TO,2021,8789676.0
TO,2022,9193323.0
TO,2023,9646201.0
