Regiao,Ano,frota
Norte,2003,10936866.0
Norte,2004,12438171.0
Norte,2005,16693994.0
Norte,2006,18794419.0
Norte,2007,21284488.0
Norte,2008,24298898.0
Norte,2009,27675440.0
Norte,2010,31450642.0
Norte,2011,35643384.0
Norte,2012,39923486.0
Norte,2013,44232726.0
Norte,2014,48428295.0
Norte,2015,52383858.0
Norte,2016,55360929.0
Norte,2017,57766923.0
Norte,2018,60338501.0
Norte,2019,63226715.0
Norte,2020,66085120.0
Norte,2021,69265369.0
Norte,2022,72520578.0
Norte,2023,76237881.0
Nordeste,2003,42046690.0
Nordeste,2004,46060454.0
Nordeste,2005,59646515.0
Nordeste,2006,65430724.0
Nordeste,2007,72770260.0
Nordeste,2008,81946745.0
Nordeste,2009,92449591.0
Nordeste,2010,105100704.0
Nordeste,2011,119660992.0
Nordeste,2012,134246050.0
Nordeste,2013,148491499.0
Nordeste,2014,162112857.0
Nordeste,2015,174418766.0
Nordeste,2016,184582779.0
Nordeste,2017,192709364.0
Nordeste,2018,200850401.0
Nordeste,2019,209684215.0
Nordeste,2020,217641789.0
Nordeste,2021,226328916.0
Nordeste,2022,234665888.0
Nordeste,2023,244155518.0
Centro-Oeste,2003,28019779.0
Centro-Oeste,2004,30756938.0
Centro-Oeste,2005,39804784.0
Centro-Oeste,2006,43078821.0
Centro-Oeste,2007,47245229.0
Centro-Oeste,2008,52812500.0
Centro-Oeste,2009,58519404.0
Centro-Oeste,2010,64366919.0
Centro-Oeste,2011,70846845.0
Centro-Oeste,2012,77140623.0
Centro-Oeste,2013,83521210.0
Centro-Oeste,2014,89569383.0
Centro-Oeste,2015,94676600.0
Centro-Oeste,2016,98428780.0
Centro-Oeste,2017,101782979.0
Centro-Oeste,2018,105666105.0
Centro-Oeste,2019,110083949.0
Centro-Oeste,2020,114270693.0
Centro-Oeste,2021,118403978.0
Centro-Oeste,2022,122584833.0
Centro-Oeste,2023,127141783.0
Sudeste,2003,191885756.0
Sudeste,2004,203919238.0
Sudeste,2005,257969664.0
Sudeste,2006,275382418.0
Sudeste,2007,297275081.0
Sudeste,2008,324791407.0
Sudeste,2009,350939025.0
Sudeste,2010,378343816.0
Sudeste,2011,408011158.0
Sudeste,2012,437436505.0
Sudeste,2013,465218154.0
Sudeste,2014,491308230.0
Sudeste,2015,513709202.0
Sudeste,2016,530969458.0
Sudeste,2017,547138775.0
Sudeste,2018,565172985.0
Sudeste,2019,585634928.0
Sudeste,2020,602843035.0
Sudeste,2021,618311142.0
Sudeste,2022,635226362.0
Sudeste,2023,654775667.0
Sul,2003,73833527.0
Sul,2004,80292794.0
Sul,2005,103167239.0
Sul,2006,110608973.0
Sul,2007,119055779.0
Sul,2008,129375688.0
Sul,2009,139529334.0
Sul,2010,149987406.0
Sul,2011,161458731.0
Sul,2012,173211968.0
Sul,2013,184971184.0
Sul,2014,196273213.0
Sul,2015,205519639.0
Sul,2016,212035188.0
Sul,2017,218070620.0
Sul,2018,225166190.0
Sul,2019,233161273.0
Sul,2020,240694405.0
Sul,2021,247882355.0
Sul,2022,254678323.0
Sul,2023,261855717.0
