Estado,Ano,Frota_total
AC,2003,558600.0
AC,2004,629139.0
AC,2005,835021.0
AC,2006,934460.0
AC,2007,1069649.0
AC,2008,1241807.0
AC,2009,1446593.0
AC,2010,1689601.0
AC,2011,1935721.0
AC,2012,2159652.0
AC,2013,2371288.0
AC,2014,2577010.0
AC,2015,2789887.0
AC,2016,2954534.0
AC,2017,3095740.0
AC,2018,3256347.0
AL,2003,2104782.0
AL,2004,2302295.0
AL,2005,2969379.0
AL,2006,3230986.0
AL,2007,3547128.0
AL,2008,3933521.0
AL,2009,4401370.0
AL,2010,4964172.0
AL,2011,5614354.0
AL,2012,6333495.0
AL,2013,7042599.0
AL,2014,7731372.0
AL,2015,8364434.0
AL,2016,8843629.0
AL,2017,9288573.0
AL,2018,9748719.0
AM,2003,2349638.0
AM,2004,2614051.0
AM,2005,3253140.0
AM,2006,3916250.0
AM,2007,4353150.0
AM,2008,4875928.0
AM,2009,5410683.0
AM,2010,6035552.0
AM,2011,6736727.0
AM,2012,7408794.0
AM,2013,8078126.0
AM,2014,8747117.0
AM,2015,9346015.0
AM,2016,9706901.0
AM,2017,9999589.0
AM,2018,10388477.0
AP,2003,408660.0
AP,2004,467502.0
AP,2005,883893.0
AP,2006,736150.0
AP,2007,849569.0
AP,2008,977179.0
AP,2009,1124127.0
AP,2010,1289569.0
AP,2011,1483119.0
AP,2012,1635002.0
AP,2013,1768632.0
AP,2014,1910064.0
AP,2015,2044627.0
AP,2016,2129207.0
AP,2017,2196709.0
AP,2018,2291561.0
BA,2003,10273595.0
BA,2004,11352048.0
BA,2005,14820210.0
BA,2006,16340595.0
BA,2007,18138920.0
BA,2008,20434880.0
BA,2009,23088054.0
BA,2010,26134689.0
BA,2011,29488270.0
BA,2012,32846528.0
BA,2013,36335629.0
BA,2014,39616590.0
BA,2015,42524011.0
BA,2016,44723812.0
BA,2017,46645048.0
BA,2018,48673324.0
CE,2003,8003001.0
CE,2004,8685666.0
CE,2005,11148332.0
CE,2006,12141552.0
CE,2007,13474707.0
CE,2008,15073802.0
CE,2009,16899274.0
CE,2010,19217611.0
CE,2011,21956368.0
CE,2012,24675708.0
CE,2013,27320538.0
CE,2014,29900750.0
CE,2015,32314311.0
CE,2016,34141140.0
CE,2017,35624148.0
CE,2018,37057901.0
DF,2003,7103465.0
DF,2004,7628098.0
DF,2005,9643373.0
DF,2006,10309209.0
DF,2007,11224644.0
DF,2008,12265663.0
DF,2009,13309929.0
DF,2010,14393957.0
DF,2011,15547278.0
DF,2012,16569380.0
DF,2013,17648966.0
DF,2014,18639748.0
DF,2015,19481729.0
DF,2016,20124901.0
DF,2017,20721176.0
DF,2018,21407848.0
ES,2003,6164461.0
ES,2004,6705316.0
ES,2005,8687807.0
ES,2006,9496143.0
ES,2007,10572656.0
ES,2008,11950871.0
ES,2009,13304750.0
ES,2010,14561870.0
ES,2011,15795496.0
ES,2012,17116775.0
ES,2013,18434802.0
ES,2014,19638074.0
ES,2015,20691790.0
ES,2016,21421287.0
ES,2017,22082349.0
ES,2018,22833305.0
GO,2003,11757418.0
GO,2004,12888619.0
GO,2005,16692211.0
GO,2006,18130953.0
GO,2007,20006268.0
GO,2008,22566152.0
GO,2009,25134306.0
GO,2010,27748929.0
GO,2011,30731663.0
GO,2012,33696160.0
GO,2013,36662439.0
GO,2014,39437841.0
GO,2015,41701258.0
GO,2016,43296183.0
GO,2017,44619369.0
GO,2018,46146116.0
MA,2003,2685546.0
MA,2004,3047461.0
MA,2005,4090629.0
MA,2006,4658579.0
MA,2007,5380375.0
MA,2008,6284352.0
MA,2009,7373617.0
MA,2010,8769105.0
MA,2011,10493714.0
MA,2012,12187761.0
MA,2013,13841510.0
MA,2014,15430556.0
MA,2015,16913086.0
MA,2016,18061407.0
MA,2017,19002398.0
MA,2018,19929932.0
MG,2003,37590759.0
MG,2004,40308696.0
MG,2005,51447406.0
MG,2006,55351235.0
MG,2007,60378910.0
MG,2008,66914359.0
MG,2009,73402785.0
MG,2010,80339057.0
MG,2011,88205587.0
MG,2012,95945344.0
MG,2013,103329739.0
MG,2014,110077865.0
MG,2015,116007758.0
MG,2016,120982067.0
MG,2017,125964836.0
MG,2018,131374470.0
MS,2003,4987420.0
MS,2004,5534458.0
MS,2005,7107701.0
MS,2006,7679830.0
MS,2007,8371197.0
MS,2008,9253502.0
MS,2009,10145809.0
