Estado,Ano,IDHM
AC,2010,0.663
AC,2012,0.701
AC,2013,0.706
AC,2014,0.715
AC,2015,0.718
AC,2016,0.723
AC,2017,0.712
AC,2018,0.733
AL,2010,0.631
AL,2012,0.651
AL,2013,0.648
AL,2014,0.666
AL,2015,0.666
AL,2016,0.68
AL,2017,0.679
AL,2018,0.689
AM,2010,0.674
AM,2012,0.691
AM,2013,0.702
AM,2014,0.706
AM,2015,0.711
AM,2016,0.711
AM,2017,0.728
AM,2018,0.718
AP,2010,0.708
AP,2012,0.707
AP,2013,0.734
AP,2014,0.725
AP,2015,0.728
AP,2016,0.733
AP,2017,0.732
AP,2018,0.741
BA,2010,0.66
BA,2012,0.678
BA,2013,0.68
BA,2014,0.694
BA,2015,0.701
BA,2016,0.705
BA,2017,0.71
BA,2018,0.71
CE,2010,0.682
CE,2012,0.701
CE,2013,0.705
CE,2014,0.71
CE,2015,0.715
CE,2016,0.722
CE,2017,0.73
CE,2018,0.739
DF,2010,0.824
DF,2012,0.825
DF,2013,0.837
DF,2014,0.836
DF,2015,0.837
DF,2016,0.847
DF,2017,0.842
DF,2018,0.845
ES,2010,0.74
ES,2012,0.758
ES,2013,0.765
ES,2014,0.772
ES,2015,0.776
ES,2016,0.779
ES,2017,0.78
ES,2018,0.788
GO,2010,0.735
GO,2012,0.744
GO,2013,0.752
GO,2014,0.757
GO,2015,0.755
GO,2016,0.764
GO,2017,0.765
GO,2018,0.771
MA,2010,0.639
MA,2012,0.648
MA,2013,0.661
MA,2014,0.663
MA,2015,0.669
MA,2016,0.68
MA,2017,0.685
MA,2018,0.686
MG,2010,0.731
MG,2012,0.75
MG,2013,0.758
MG,2014,0.77
MG,2015,0.774
MG,2016,0.776
MG,2017,0.784
MG,2018,0.784
MS,2010,0.729
MS,2012,0.733
MS,2013,0.743
MS,2014,0.745
MS,2015,0.74
MS,2016,0.758
MS,2017,0.762
MS,2018,0.77
MT,2010,0.725
MT,2012,0.742
MT,2013,0.758
MT,2014,0.762
MT,2015,0.77
MT,2016,0.769
MT,2017,0.77
MT,2018,0.778
PA,2010,0.646
PA,2012,0.666
PA,2013,0.671
PA,2014,0.684
PA,2015,0.689
PA,2016,0.687
PA,2017,0.694
PA,2018,0.707
PB,2010,0.658
PB,2012,0.673
PB,2013,0.67
PB,2014,0.69
PB,2015,0.703
PB,2016,0.704
PB,2017,0.717
PB,2018,0.711
PE,2010,0.673
PE,2012,0.688
PE,2013,0.703
PE,2014,0.715
PE,2015,0.722
PE,2016,0.724
PE,2017,0.722
PE,2018,0.735
PI,2010,0.646
PI,2012,0.66
PI,2013,0.679
PI,2014,0.686
PI,2015,0.689
PI,2016,0.685
PI,2017,0.694
PI,2018,0.699
PR,2010,0.749
PR,2012,0.772
PR,2013,0.782
PR,2014,0.788
PR,2015,0.786
PR,2016,0.797
PR,2017,0.797
PR,2018,0.805
RJ,2010,0.761
RJ,2012,0.762
RJ,2013,0.768
RJ,2014,0.78
RJ,2015,0.785
RJ,2016,0.789
RJ,2017,0.791
RJ,2018,0.805
RN,2010,0.684
RN,2012,0.695
RN,2013,0.71
RN,2014,0.723
RN,2015,0.733
RN,2016,0.732
RN,2017,0.728
RN,2018,0.739
RO,2010,0.69
RO,2012,0.694
RO,2013,0.687
RO,2014,0.692
RO,2015,0.706
RO,2016,0.715
RO,2017,0.721
RO,2018,0.73
RR,2010,0.707
RR,2012,0.738
RR,2013,0.738
RR,2014,0.744
RR,2015,0.748
RR,2016,0.752
RR,2017,0.746
RR,2018,0.76
RS,2010,0.746
RS,2012,0.763
RS,2013,0.773
RS,2014,0.779
RS,2015,0.787
RS,2016,0.789
RS,2017,0.793
RS,2018,0.797
SC,2010,0.774
SC,2012,0.792
SC,2013,0.801
SC,2014,0.807
SC,2015,0.809
SC,2016,0.814
SC,2017,0.817
SC,2018,0.819
SE,2010,0.665
SE,2012,0.684
SE,2013,0.683
SE,2014,0.696
SE,2015,0.697
SE,2016,0.697
SE,2017,0.699
SE,2018,0.71
SP,2010,0.783
SP,2012,0.812
SP,2013,0.818
SP,2014,0.825
SP,2015,0.823
SP,2016,0.835
SP,2017,0.831
SP,2018,0.837
TO,2010,0.699
TO,2012,0.71
TO,2013,0.719
TO,2014,0.737
TO,2015,0.73
TO,2016,0.734
TO,2017,0.74
TO,2018,0.749
,2010,
,2010,
,2010,
,2012,
,2012,
,2012,
,2013,
,2013,
,2013,
,2014,
,2014,
,2014,
,2015,
,2015,
,2015,
,2016,
,2016,
,2016,
,2017,
,2017,
,2017,
,2018,
,2018,
,2018,
