Estado,Variavel,Metodo,n,Coeficiente,p_valor,Significativo_5pct,Direcao,Forca,Conclusao
AC,Area_Desmatada km2,Pearson,16,-0.5374657432766546,0.03178408071088827,Sim,Negativa,Moderada,Correlação linear significativa
AC,Frota_total,Pearson,16,-0.4186613213664189,0.10653523364343671,Não,Negativa,Moderada,Sem evidência de correlação linear significativa
AC,Internacoes_Respiratorias,Pearson,16,-0.6710882565740133,0.004426629147732234,Sim,Negativa,Forte,Correlação linear significativa
AC,Populacao,Pearson,16,-0.46034694519665154,0.07275952798969666,Não,Negativa,Moderada,Sem evidência de correlação linear significativa
AC,Rebanho_total,Pearson,16,-0.43308088104547304,0.09380570141037635,Não,Negativa,Moderada,Sem evidência de correlação linear significativa
AL,Area_Desmatada km2,Pearson,16,0.821616925528711,9.480538308591427e-05,Sim,Positiva,Muito forte,Correlação linear significativa
AL,Frota_total,Pearson,16,0.81580831540393,0.00011671056481910139,Sim,Positiva,Muito forte,Correlação linear significativa
AL,Internacoes_Respiratorias,Pearson,16,0.4891359001785902,0.05450129754832714,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
AL,Populacao,Pearson,16,0.8107074790948512,0.00013927460269813613,Sim,Positiva,Muito forte,Correlação linear significativa
AL,Rebanho_total,Pearson,16,0.7123388120918132,0.0019598754605716145,Sim,Positiva,Forte,Correlação linear significativa
AM,Area_Desmatada km2,Pearson,16,0.27750267158026504,0.29806728001348837,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
AM,Frota_total,Pearson,16,0.2704135410758593,0.3110853645316983,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
AM,Internacoes_Respiratorias,Pearson,16,-0.2712990704312501,0.30944131183179496,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
AM,Populacao,Pearson,16,0.3473957019232471,0.1873773889912816,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
AM,Rebanho_total,Pearson,16,-0.06487851872817084,0.8113277940070512,Não,Negativa,Muito fraca,Sem evidência de correlação linear significativa
AP,Area_Desmatada km2,Pearson,16,0.46625575141417164,0.06869362029143558,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
AP,Frota_total,Pearson,16,0.46177195055574527,0.07176337664775503,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
AP,Internacoes_Respiratorias,Pearson,16,0.393944033355648,0.13109785646103306,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
AP,Populacao,Pearson,16,0.4234238057437135,0.10220393439996071,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
AP,Rebanho_total,Pearson,16,0.3478536882508879,0.18675722470900977,Não,Positiva,Fraca,Sem evidência de correlação linear significativa
BA,Area_Desmatada km2,Pearson,16,-0.251851338693002,0.3467162915370854,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
BA,Frota_total,Pearson,16,-0.35344397475504363,0.17929574447352767,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
BA,Internacoes_Respiratorias,Pearson,16,0.16083485774136808,0.5518110945605885,Não,Positiva,Muito fraca,Sem evidência de correlação linear significativa
BA,Populacao,Pearson,16,-0.2596835299405685,0.33141099674068086,Não,Negativa,Fraca,Sem evidência de correlação linear significativa
BA,Rebanho_total,Pearson,16,-0.5338529660179416,0.03317691074357674,Sim,Negativa,Moderada,Correlação linear significativa
CE,Area_Desmatada km2,Pearson,16,0.8163696829924754,0.00011442509440755651,Sim,Positiva,Muito forte,Correlação linear significativa
CE,Frota_total,Pearson,16,0.8631936224446333,1.662195122816979e-05,Sim,Positiva,Muito forte,Correlação linear significativa
CE,Internacoes_Respiratorias,Pearson,16,0.40590569074034466,0.11876844569942627,Não,Positiva,Moderada,Sem evidência de correlação linear significativa
CE,Populacao,Pearson,16,0.8363868156550056,5.39703829091688e-05,Sim,Positiva,Muito forte,Correlação linear significativa
CE,Rebanho_total,Pearson,16,0.8034901430936134,0.00017730288464047725,Sim,Positiva,Muito forte,Correlação linear significativa
DF,Area_Desmatada km2,Pearson,16,0.8269455770129187,7.783387753989329e-05,Sim,Positiva,Muito forte,Correlação linear significativa
DF,Frota_total,Pearson,16,0.8991265813990299,2.1746252076457372e-06,Sim,Positiva,Muito forte,Correlação linear significativa
DF,Internacoes_Respiratorias,Pearson,16,0.6328729837653058,0.008506571201378654,Sim,Positiva,Forte,Correlação linear significativa
