Regiao,Ano,pib_pc
Norte,2003,5804.886808971639
Norte,2004,6752.202023615271
Norte,2005,7247.039747442454
Norte,2006,8079.560455713954
Norte,2007,9275.041380416375
Norte,2008,10346.693710086223
Norte,2009,10821.253808260648
Norte,2010,13040.472525281237
Norte,2011,14975.155232607241
Norte,2012,15849.281177427913
Norte,2013,17188.778398416343
Norte,2014,17847.13866002414
Norte,2015,18353.745946379702
Norte,2016,19048.239164012248
Norte,2017,20514.73583085024
Norte,2018,21313.933173247726
Norte,2019,22810.738057820046
Norte,2020,25608.28605458917
Norte,2021,29833.653879427166
Norte,2022,33123.05368853733
Norte,2023,36678.52902774753
Nordeste,2003,4426.210313979943
Nordeste,2004,4991.945539716254
Nordeste,2005,5543.93456914156
Nordeste,2006,6160.707679843954
Nordeste,2007,6876.788394358577
Nordeste,2008,7649.525363033586
Nordeste,2009,8432.457729599888
Nordeste,2010,9849.051837346755
Nordeste,2011,10904.532087913576
Nordeste,2012,12117.956246414358
Nordeste,2013,12985.529033591063
Nordeste,2014,14329.127685166257
Nordeste,2015,15003.309597674557
Nordeste,2016,15784.012709081411
Nordeste,2017,16652.56741586285
Nordeste,2018,17702.847452789498
Nordeste,2019,18358.780619307392
Nordeste,2020,18812.117886261596
Nordeste,2021,21556.26519518953
Nordeste,2022,25401.42905537474
Nordeste,2023,27681.96554645813
Centro-Oeste,2003,12184.406093915346
Centro-Oeste,2004,13699.245630089317
Centro-Oeste,2005,14406.22686611554
Centro-Oeste,2006,15328.731160290194
Centro-Oeste,2007,17614.76165442036
Centro-Oeste,2008,20308.121925539617
Centro-Oeste,2009,22266.448617421105
Centro-Oeste,2010,25253.18330630396
Centro-Oeste,2011,28092.347169679015
Centro-Oeste,2012,30819.435584279243
Centro-Oeste,2013,32389.570207889774
Centro-Oeste,2014,35653.48209206234
Centro-Oeste,2015,37542.90166798412
Centro-Oeste,2016,40423.51772322078
Centro-Oeste,2017,41566.940531024535
Centro-Oeste,2018,43200.042909926655
Centro-Oeste,2019,44876.24434630976
Centro-Oeste,2020,47942.08826689408
Centro-Oeste,2021,55793.79064228841
Centro-Oeste,2022,65650.96124942116
Centro-Oeste,2023,71200.71670884929
Sudeste,2003,12713.26606420101
Sudeste,2004,14291.048591196779
Sudeste,2005,15907.046919182643
Sudeste,2006,17475.76308058916
Sudeste,2007,20037.217723368587
Sudeste,2008,22091.84667656562
Sudeste,2009,23177.36176747664
Sudeste,2010,27142.336525205348
Sudeste,2011,30324.45585425143
Sudeste,2012,33016.85016318186
Sudeste,2013,34910.599752962204
Sudeste,2014,37298.56634922733
Sudeste,2015,37771.51292093306
Sudeste,2016,38598.322713355556
Sudeste,2017,40047.7771767189
Sudeste,2018,42426.56827390977
Sudeste,2019,44329.75706245476
Sudeste,2020,44406.19290495112
Sudeste,2021,52580.92801029017
Sudeste,2022,63327.07987117435
Sudeste,2023,68357.90858520276
Sul,2003,11158.560025497156
Sul,2004,12324.195319139819
Sul,2005,12804.28533318003
Sul,2006,13780.667222744703
Sul,2007,16344.308546185206
Sul,2008,18088.27827944902
Sul,2009,19124.673895616183
Sul,2010,22646.872548212825
Sul,2011,25260.723116887635
Sul,2012,27585.882951847016
Sul,2013,30569.988625966078
Sul,2014,32687.14693459755
Sul,2015,34486.10498251323
Sul,2016,36255.65851604092
Sul,2017,37849.21992910897
Sul,2018,40181.119150334176
Sul,2019,42437.475020508726
Sul,2020,43327.166113987834
Sul,2021,51305.753359748145
Sul,2022,55941.635621748224
Sul,2023,61274.539668722595
