Estado,Ano,Populacao
AC,2003,600595
AC,2004,630328
AC,2005,669736
AC,2006,686652
AC,2008,680075
AC,2009,691132
AC,2011,746386
AC,2012,758786
AC,2013,776463
AC,2014,790101
AC,2015,803513
AC,2016,816687
AC,2017,829619
AC,2018,869265
AL,2003,2917664
AL,2004,2980910
AL,2005,3015912
AL,2006,3050652
AL,2008,3127560
AL,2009,3156108
AL,2011,3143384
AL,2012,3165472
AL,2013,3300935
AL,2014,3321730
AL,2015,3340932
AL,2016,3358963
AL,2017,3375823
AL,2018,3322820
AM,2003,3031068
AM,2004,3138726
AM,2005,3232330
AM,2006,3311026
AM,2008,3341094
AM,2009,3393369
AM,2011,3538387
AM,2012,3590985
AM,2013,3807921
AM,2014,3873743
AM,2015,3938336
AM,2016,4001667
AM,2017,4063614
AM,2018,4080611
AP,2003,534835
AP,2004,547400
AP,2005,594587
AP,2006,615715
AP,2008,613166
AP,2009,626609
AP,2011,684309
AP,2012,698602
AP,2013,734996
AP,2014,750912
AP,2015,766679
AP,2016,782295
AP,2017,797722
AP,2018,829494
BA,2003,13435612
BA,2004,13682074
BA,2005,13815334
BA,2006,13950146
BA,2008,14502563
BA,2009,14637364
BA,2011,14097534
BA,2012,14175341
BA,2013,15044137
BA,2014,15126371
BA,2015,15203334
BA,2016,15276566
BA,2017,15344447
BA,2018,14812617
CE,2003,7758441
CE,2004,7976563
CE,2005,8097276
CE,2006,8217085
CE,2008,8450528
CE,2009,8547809
CE,2011,8530155
CE,2012,8606005
CE,2013,8778576
CE,2014,8842791
CE,2015,8904459
CE,2016,8963663
CE,2017,9020460
CE,2018,9075649
DF,2003,2189789
DF,2004,2282049
DF,2005,2333108
DF,2006,2383784
DF,2008,2557159
DF,2009,2606885
DF,2011,2609998
DF,2012,2648532
DF,2013,2789761
DF,2014,2852372
DF,2015,2914830
DF,2016,2977216
DF,2017,3039444
DF,2018,2974703
ES,2003,3250219
ES,2004,3352024
ES,2005,3408365
ES,2006,3464285
ES,2008,3453646
ES,2009,3487199
ES,2011,3547055
ES,2012,3578067
ES,2013,3839366
ES,2014,3885049
ES,2015,3929911
ES,2016,3973697
ES,2017,4016356
ES,2018,3972388
GO,2003,5306459
GO,2004,5508245
GO,2005,5619917
GO,2006,5730753
GO,2008,5844995
GO,2009,5926300
GO,2011,6080716
GO,2012,6154996
GO,2013,6434048
GO,2014,6523222
GO,2015,6610681
GO,2016,6695855
GO,2017,6778772
GO,2018,6921161
MA,2003,5873655
MA,2004,6021504
MA,2005,6103327
MA,2006,6184538
MA,2008,6305537
MA,2009,6367138
MA,2011,6645761
MA,2012,6714314
MA,2013,6794301
MA,2014,6850884
MA,2015,6904241
MA,2016,6954036
MA,2017,7000229
MA,2018,7035055
MG,2003,18553312
MG,2004,18993720
MG,2005,19237450
MG,2006,19479356
MG,2008,19850060
MG,2009,20033665
MG,2011,19728701
MG,2012,19855332
MG,2013,20593356
MG,2014,20734097
MG,2015,20869101
MG,2016,20997560
MG,2017,21119536
MG,2018,21040662
MS,2003,2169688
MS,2004,2227794
MS,2005,2264468
MS,2006,2297981
MS,2008,2336060
MS,2009,2360498
MS,2011,2477542
MS,2012,2500365
MS,2013,2587269
MS,2014,2619657
MS,2015,2651235
MS,2016,2682386
MS,2017,2713147
MS,2018,2748023
MT,2003,2651335
MT,2004,2742646
MT,2005,2803274
MT,2006,2856999
MT,2008,2957735
MT,2009,3001692
MT,2011,3075936
MT,2012,3115336
MT,2013,3182113
MT,2014,3224357
MT,2015,3265486
MT,2016,3305531
MT,2017,3344544
MT,2018,3441998
PA,2003,6574993
PA,2004,6850181
PA,2005,6970586
PA,2006,7110465
PA,2008,7321490
PA,2009,7431020
PA,2011,7688593
PA,2012,7777543
PA,2013,7969654
PA,2014,8073924
PA,2015,8175113
PA,2016,8272724
PA,2017,8366628
PA,2018,8513497
PB,2003,3518595
PB,2004,3568350
PB,2005,3595886
PB,2006,3623215
PB,2008,3742604
PB,2009,3769977
PB,2011,3791315
PB,2012,3815171
PB,2013,3914421
PB,2014,3943885
PB,2015,3972202
PB,2016,3999415
PB,2017,4025558
PB,2018,3996496
PE,2003,8161862
PE,2004,8323911
PE,2005,8413593
PE,2006,8502603
PE,2008,8734196
PE,2009,8810256
PE,2011,8864906
PE,2012,8931028
PE,2013,9208550
PE,2014,9277727
PE,2015,9345173
PE,2016,9410336
PE,2017,9473266
PE,2018,9496294
PI,2003,2923725
PI,2004,2974698
PI,2005,3006885
PI,2006,3036290
PI,2008,3111881
PI,2009,3145325
PI,2011,3140328
PI,2012,3160748
PI,2013,3184166
PI,2014,3194718
PI,2015,3204028
PI,2016,3212180
PI,2017,3219257
PI,2018,3264531
PR,2003,9906866
PR,2004,10135388
PR,2005,10261856
PR,2006,10387378
PR,2008,10590171
PR,2009,10686247
PR,2011,10512349
PR,2012,10577755
PR,2013,10997465
PR,2014,11081692
PR,2015,11163018
PR,2016,11242720
PR,2017,11320892
PR,2018,11348937
RJ,2003,14879118
RJ,2004,15203750
RJ,2005,15383407
RJ,2006,15561720
RJ,2008,15872362
RJ,2009,16010429
RJ,2011,16112678
RJ,2012,16231365
RJ,2013,16369179
RJ,2014,16461173
RJ,2015,16550024
RJ,2016,16635996
RJ,2017,16718956
RJ,2018,17159960
RN,2003,2888058
RN,2004,2962107
RN,2005,3003087
RN,2006,3043760
RN,2008,3106436
RN,2009,3137541
RN,2011,3198657
RN,2012,3228198
RN,2013,3373959
RN,2014,3408510
RN,2015,3442175
RN,2016,3474998
RN,2017,3507003
RN,2018,3479010
RO,2003,1455907
RO,2004,1562085
RO,2005,1534594
RO,2006,1562417
RO,2008,1493565
RO,2009,1503928
RO,2011,1576455
RO,2012,1590011
RO,2013,1728214
RO,2014,1748531
RO,2015,1768204
RO,2016,1787279
RO,2017,1805788
RO,2018,1757589
RR,2003,357302
RR,2004,381896
RR,2005,391317
RR,2006,403344
RR,2008,412783
RR,2009,421499
RR,2011,460165
RR,2012,469524
RR,2013,488072
RR,2014,496936
RR,2015,505665
RR,2016,514229
RR,2017,522636
RR,2018,576568
RS,2003,10510992
RS,2004,10726063
RS,2005,10845087
RS,2006,10963219
RS,2008,10855228
RS,2009,10914128
RS,2011,10733030
RS,2012,10768025
RS,2013,11164043
RS,2014,11207274
RS,2015,11247972
RS,2016,11286500
RS,2017,11322895
RS,2018,11329605
SC,2003,5607233
SC,2004,5774178
SC,2005,5866568
SC,2006,5958266
SC,2008,6052587
SC,2009,6118743
SC,2011,6317054
SC,2012,6362734
SC,2013,6634254
SC,2014,6727148
SC,2015,6819190
SC,2016,6910553
SC,2017,7001161
SC,2018,7075494
SE,2003,1874613
SE,2004,1934596
SE,2005,1967791
SE,2006,2000738
SE,2008,1999374
SE,2009,2019679
SE,2011,2089819
SE,2012,2110867
SE,2013,2195662
SE,2014,2219574
SE,2015,2242937
SE,2016,2265779
SE,2017,2288116
SE,2018,2278308
SP,2003,38709320
SP,2004,39825226
SP,2005,40442795
SP,2006,41055734
SP,2008,41011638
SP,2009,41384039
SP,2011,41587182
SP,2012,41901219
SP,2013,43663669
SP,2014,44035304
SP,2015,44396484
SP,2016,44749699
SP,2017,45094866
SP,2018,45538936
TO,2003,1230181
TO,2004,1262644
TO,2005,1305728
TO,2006,1332441
TO,2008,1280513
TO,2009,1292051
TO,2011,1400892
TO,2012,1417694
TO,2013,1478164
TO,2014,1496880
TO,2015,1515126
TO,2016,1532902
TO,2017,1550194
TO,2018,1555229
