Estado,Ano,rebanho
AC,2004,2062690.0
AC,2005,2313185.0
AC,2006,2452915.0
AC,2007,2315798.0
AC,2008,2425687.0
AC,2009,2511285.0
AC,2010,2578460.0
AC,2011,2549497.0
AC,2012,2634467.0
AC,2013,2697489.0
AC,2014,2799673.0
AC,2015,2916207.0
AC,2016,2998969.0
AC,2017,2895028.0
AC,2018,3303633.0
AC,2019,3509682.0
AC,2020,3802112.0
AC,2021,4047283.0
AC,2022,4635381.0
AC,2023,4908956.0
AL,2004,893922.0
AL,2005,985422.0
AL,2006,1029352.0
AL,2007,1112125.0
AL,2008,1162005.0
AL,2009,1193021.0
AL,2010,1219578.0
AL,2011,1268304.0
AL,2012,1221266.0
AL,2013,1251723.0
AL,2014,1253121.0
AL,2015,1255696.0
AL,2016,1189985.0
AL,2017,1208404.0
AL,2018,1247619.0
AL,2019,1233394.0
AL,2020,1290414.0
AL,2021,1321236.0
AL,2022,1335493.0
AL,2023,1437589.0
AM,2004,1156723.0
AM,2005,1197171.0
AM,2006,1243358.0
AM,2007,1208652.0
AM,2008,1312352.0
AM,2009,1350816.0
AM,2010,1360800.0
AM,2011,1439597.0
AM,2012,1445739.0
AM,2013,1470537.0
AM,2014,1405208.0
AM,2015,1293325.0
AM,2016,1315821.0
AM,2017,1343574.0
AM,2018,1376210.0
AM,2019,1455842.0
AM,2020,1437809.0
AM,2021,1496165.0
AM,2022,2029011.0
AM,2023,2377089.0
AP,2004,82243.0
AP,2005,96599.0
AP,2006,109081.0
AP,2007,103170.0
AP,2008,95803.0
AP,2009,104977.0
AP,2010,114773.0
AP,2011,127499.0
AP,2012,142825.0
AP,2013,154967.0
AP,2014,167529.0
AP,2015,89682.0
AP,2016,76379.0
AP,2017,66921.0
AP,2018,55422.0
AP,2019,54296.0
AP,2020,54684.0
AP,2021,52768.0
AP,2022,53691.0
AP,2023,54842.0
BA,2004,10466163.0
BA,2005,10463098.0
BA,2006,10764857.0
BA,2007,11385723.0
BA,2008,11099880.0
BA,2009,10230469.0
BA,2010,10528419.0
BA,2011,10667903.0
BA,2012,10250975.0
BA,2013,10828409.0
