Regiao,Ano,rebanho
Norte,2003,33929590.0
Norte,2004,39787138.0
Norte,2005,41489002.0
Norte,2006,41060384.0
Norte,2007,37865772.0
Norte,2008,39119455.0
Norte,2009,40437159.0
Norte,2010,42100695.0
Norte,2011,43238310.0
Norte,2012,43815346.0
Norte,2013,44705617.0
Norte,2014,45826142.0
Norte,2015,47175989.0
Norte,2016,47983190.0
Norte,2017,48508063.0
Norte,2018,48900788.0
Norte,2019,49682199.0
Norte,2020,52586264.0
Norte,2021,55727449.0
Norte,2022,61103379.0
Norte,2023,63039002.0
Nordeste,2003,24992158.0
Nordeste,2004,25966460.0
Nordeste,2005,26969286.0
Nordeste,2006,27881219.0
Nordeste,2007,28711240.0
Nordeste,2008,28851880.0
Nordeste,2009,28289850.0
Nordeste,2010,28762119.0
Nordeste,2011,29585933.0
Nordeste,2012,28244899.0
Nordeste,2013,28958676.0
Nordeste,2014,29350651.0
Nordeste,2015,29092184.0
Nordeste,2016,28393671.0
Nordeste,2017,27791097.0
Nordeste,2018,27837112.0
Nordeste,2019,28596654.0
Nordeste,2020,28606835.0
Nordeste,2021,31316917.0
Nordeste,2022,33212878.0
Nordeste,2023,35349586.0
Centro-Oeste,2003,69888635.0
Centro-Oeste,2004,71168853.0
Centro-Oeste,2005,71984504.0
Centro-Oeste,2006,70535922.0
Centro-Oeste,2007,68088112.0
Centro-Oeste,2008,68929795.0
Centro-Oeste,2009,70659695.0
Centro-Oeste,2010,72559996.0
Centro-Oeste,2011,72662219.0
Centro-Oeste,2012,72385029.0
Centro-Oeste,2013,71124329.0
Centro-Oeste,2014,71234141.0
Centro-Oeste,2015,72705736.0
Centro-Oeste,2016,75112421.0
Centro-Oeste,2017,74128217.0
Centro-Oeste,2018,73838407.0
Centro-Oeste,2019,73970616.0
Centro-Oeste,2020,75075950.0
Centro-Oeste,2021,75413186.0
Centro-Oeste,2022,77175767.0
Centro-Oeste,2023,76698859.0
Sudeste,2003,38711076.0
Sudeste,2004,39379011.0
Sudeste,2005,38943898.0
Sudeste,2006,39208512.0
Sudeste,2007,38586629.0
Sudeste,2008,37820094.0
Sudeste,2009,38016674.0
Sudeste,2010,38251950.0
Sudeste,2011,39335644.0
Sudeste,2012,39206257.0
Sudeste,2013,39341429.0
Sudeste,2014,38530737.0
Sudeste,2015,38812076.0
Sudeste,2016,39123700.0
Sudeste,2017,37550079.0
Sudeste,2018,37111436.0
Sudeste,2019,37047182.0
Sudeste,2020,37446512.0
Sudeste,2021,38461833.0
Sudeste,2022,38990889.0
Sudeste,2023,38211572.0
Sul,2003,28030117.0
Sul,2004,28211275.0
Sul,2005,27770006.0
Sul,2006,27200207.0
Sul,2007,26500261.0
Sul,2008,27585507.0
Sul,2009,27904576.0
Sul,2010,27866349.0
Sul,2011,27993205.0
Sul,2012,27627551.0
Sul,2013,27634241.0
Sul,2014,27424461.0
Sul,2015,27434523.0
Sul,2016,27577786.0
Sul,2017,27026122.0
Sul,2018,26121702.0
Sul,2019,25393333.0
Sul,2020,24120721.0
Sul,2021,23682607.0
Sul,2022,24368623.0
Sul,2023,25327423.0
