Estado,Ano,Animal,Quantidade
RO,2003,Bovino,9392354.0
RO,2003,Bubalino,4221.0
RO,2003,Equino,144204.0
RO,2003,Suíno - total,251879.0
RO,2003,Suíno - matrizes de suínos,0.0
RO,2003,Caprino,13483.0
RO,2003,Ovino,72981.0
RO,2003,Galináceos - total,6054338.0
RO,2003,Galináceos - galinhas,2205034.0
RO,2003,Codornas,0.0
RO,2004,Bovino,10671440.0
RO,2004,Bubalino,4653.0
RO,2004,Equino,146683.0
RO,2004,Suíno - total,255461.0
RO,2004,Suíno - matrizes de suínos,0.0
RO,2004,Caprino,13187.0
RO,2004,Ovino,76589.0
RO,2004,Galináceos - total,5862418.0
RO,2004,Galináceos - galinhas,2059014.0
RO,2004,Codornas,0.0
RO,2005,Bovino,11349452.0
RO,2005,Bubalino,6457.0
RO,2005,Equino,146332.0
RO,2005,Suíno - total,308406.0
RO,2005,Suíno - matrizes de suínos,0.0
RO,2005,Caprino,16310.0
RO,2005,Ovino,99396.0
RO,2005,Galináceos - total,4396832.0
RO,2005,Galináceos - galinhas,1442062.0
RO,2005,Codornas,0.0
RO,2006,Bovino,11484162.0
RO,2006,Bubalino,6093.0
RO,2006,Equino,143768.0
RO,2006,Suíno - total,275682.0
RO,2006,Suíno - matrizes de suínos,0.0
RO,2006,Caprino,13199.0
RO,2006,Ovino,105072.0
RO,2006,Galináceos - total,4249358.0
RO,2006,Galináceos - galinhas,1389394.0
RO,2006,Codornas,0.0
RO,2007,Bovino,11007613.0
RO,2007,Bubalino,5378.0
RO,2007,Equino,161166.0
RO,2007,Suíno - total,278133.0
RO,2007,Suíno - matrizes de suínos,0.0
RO,2007,Caprino,16575.0
RO,2007,Ovino,124661.0
RO,2007,Galináceos - total,4938140.0
RO,2007,Galináceos - galinhas,1777416.0
RO,2007,Codornas,0.0
RO,2008,Bovino,11176201.0
RO,2008,Bubalino,6086.0
RO,2008,Equino,160583.0
RO,2008,Suíno - total,207477.0
RO,2008,Suíno - matrizes de suínos,0.0
RO,2008,Caprino,15349.0
RO,2008,Ovino,125183.0
RO,2008,Galináceos - total,4646675.0
RO,2008,Galináceos - galinhas,1660401.0
RO,2008,Codornas,0.0
RO,2009,Bovino,11532891.0
RO,2009,Bubalino,5977.0
RO,2009,Equino,162654.0
RO,2009,Suíno - total,216947.0
