Estado,Ano,Rebanho_total
AC,2003,3846365.0
AC,2004,3950262.0
AC,2005,4140812.0
AC,2006,4449260.0
AC,2007,4674602.0
AC,2008,5041479.0
AC,2009,5261148.0
AC,2010,5360763.0
AC,2011,5344276.0
AC,2012,5425832.0
AC,2013,5590361.0
AC,2014,6061639.0
AC,2015,6799366.0
AC,2016,6895129.0
AC,2017,6596247.0
AC,2018,7109591.0
AL,2003,7970852.0
AL,2004,7429059.0
AL,2005,7898213.0
AL,2006,7754888.0
AL,2007,8952354.0
AL,2008,8916447.0
AL,2009,9232180.0
AL,2010,8442591.0
AL,2011,8589443.0
AL,2012,9459022.0
AL,2013,10560842.0
AL,2014,10852613.0
AL,2015,12237238.0
AL,2016,11745672.0
AL,2017,12214458.0
AL,2018,12021225.0
AM,2003,6646842.0
AM,2004,7106197.0
AM,2005,7987794.0
AM,2006,8624655.0
AM,2007,7191913.0
AM,2008,7858253.0
AM,2009,7980995.0
AM,2010,8506877.0
AM,2011,9226679.0
AM,2012,8900416.0
AM,2013,8615960.0
AM,2014,8833580.0
AM,2015,9049864.0
AM,2016,8644048.0
AM,2017,8140794.0
AM,2018,8370141.0
AP,2003,294461.0
AP,2004,307149.0
AP,2005,372891.0
AP,2006,421007.0
AP,2007,439154.0
AP,2008,402421.0
AP,2009,411567.0
AP,2010,443164.0
AP,2011,491634.0
AP,2012,529625.0
AP,2013,558413.0
AP,2014,597683.0
AP,2015,505400.0
AP,2016,491215.0
AP,2017,501683.0
AP,2018,504914.0
BA,2003,62850467.0
BA,2004,65443582.0
BA,2005,67259284.0
BA,2006,63030778.0
BA,2007,59319096.0
BA,2008,61499856.0
BA,2009,61095205.0
BA,2010,63868470.0
BA,2011,61699654.0
BA,2012,59472421.0
BA,2013,58344248.0
BA,2014,61362149.0
BA,2015,68397341.0
BA,2016,68954930.0
BA,2017,69055000.0
BA,2018,69735677.0
CE,2003,34353435.0
CE,2004,34908470.0
CE,2005,35305478.0
CE,2006,36215820.0
CE,2007,38814427.0
CE,2008,39352716.0
CE,2009,39592248.0
CE,2010,40672888.0
CE,2011,41459566.0
CE,2012,42373636.0
CE,2013,44583159.0
CE,2014,44702453.0
CE,2015,46092951.0
CE,2016,46624853.0
CE,2017,48719745.0
CE,2018,51733698.0
DF,2003,10974923.0
DF,2004,11701376.0
DF,2005,17739939.0
DF,2006,12949026.0
DF,2007,14583475.0
DF,2008,13549492.0
DF,2009,9117190.0
DF,2010,8477931.0
DF,2011,10181090.0
DF,2012,9860789.0
DF,2013,11564415.0
DF,2014,12150441.0
DF,2015,12394769.0
DF,2016,17264813.0
DF,2017,12323237.0
DF,2018,9600816.0
ES,2003,20256386.0
ES,2004,19518781.0
ES,2005,24459573.0
ES,2006,25302836.0
ES,2007,27053589.0
ES,2008,28712847.0
ES,2009,34415696.0
