Estado,Variavel,n,W,p_valor,Normal_5pct,Conclusao
AC,area_colhida,20,0.8845914837061435,0.021418235497889963,Não,Rejeita normalidade
AC,area_destinada_colheita,20,0.9272913185707281,0.13693683171089643,Sim,Não rejeita normalidade
AC,chuva_media,16,0.9164088512093854,0.1476418631255607,Sim,Não rejeita normalidade
AC,co2,20,0.7808079304775649,0.00045320479743731705,Não,Rejeita normalidade
AC,consumo_energia_industrial,20,0.9621439870546863,0.5875157790068137,Sim,Não rejeita normalidade
AC,desmat_area,20,0.781725317704973,0.00046711352426663126,Não,Rejeita normalidade
AC,frota,20,0.9448224642514258,0.29523772170222445,Sim,Não rejeita normalidade
AC,frp_anual_queimadas,20,0.8087079036077314,0.0011684702025653467,Não,Rejeita normalidade
AC,rebanho,20,0.8657494549915487,0.009901015487705585,Não,Rejeita normalidade
AC,temp_media,16,0.9395454783001079,0.34348364356525674,Sim,Não rejeita normalidade
AC,venda_comb,20,0.8589990345955117,0.007571357835301295,Não,Rejeita normalidade
AL,area_colhida,20,0.903221804545048,0.04741124135446523,Não,Rejeita normalidade
AL,area_destinada_colheita,20,0.8962295249014072,0.03506434713724921,Não,Rejeita normalidade
AL,chuva_media,20,0.8844150515755218,0.021260762752150466,Não,Rejeita normalidade
AL,co2,20,0.9318550222636119,0.167636974087303,Sim,Não rejeita normalidade
AL,consumo_energia_industrial,20,0.8208511934564158,0.0017983882895392493,Não,Rejeita normalidade
AL,desmat_area,20,0.8452162087797851,0.004436589712760823,Não,Rejeita normalidade
AL,frota,20,0.9471979857914111,0.3265500737444075,Sim,Não rejeita normalidade
AL,frp_anual_queimadas,20,0.9285125608770085,0.14456143844132469,Sim,Não rejeita normalidade
AL,rebanho,20,0.9199557644982155,0.0988911204321177,Sim,Não rejeita normalidade
AL,temp_media,20,0.9741226599301738,0.8383829817126812,Sim,Não rejeita normalidade
AL,venda_comb,20,0.874018178506835,0.013833948587938833,Não,Rejeita normalidade
AM,area_colhida,20,0.8673839046259751,0.010572327139327016,Não,Rejeita normalidade
AM,area_destinada_colheita,20,0.8302116624370253,0.0025286062489913736,Não,Rejeita normalidade
AM,chuva_media,20,0.9426061359992808,0.26844796975570806,Sim,Não rejeita normalidade
AM,co2,20,0.8039609958609255,0.0009904132007865244,Não,Rejeita normalidade
AM,consumo_energia_industrial,20,0.9819025536936229,0.9562289381528676,Sim,Não rejeita normalidade
AM,desmat_area,20,0.8284879534541402,0.0023734666336853263,Não,Rejeita normalidade
AM,frota,20,0.9573630499748159,0.49260949039027224,Sim,Não rejeita normalidade
AM,frp_anual_queimadas,20,0.9468604141792328,0.3219320663768609,Sim,Não rejeita normalidade
AM,rebanho,20,0.6920101404487393,3.120318960257983e-05,Não,Rejeita normalidade
AM,temp_media,20,0.8391611247551152,0.0035274898361492527,Não,Rejeita normalidade
AM,venda_comb,20,0.9259176460847269,0.1288371005256037,Sim,Não rejeita normalidade
AP,area_colhida,20,0.9451982863733615,0.30000937679609874,Sim,Não rejeita normalidade
AP,area_destinada_colheita,20,0.941735650606462,0.25854084960552887,Sim,Não rejeita normalidade
AP,chuva_media,16,0.9525900214779048,0.5317992662694342,Sim,Não rejeita normalidade
AP,co2,20,0.6808758848644704,2.29979987972261e-05,Não,Rejeita normalidade
AP,consumo_energia_industrial,20,0.7967946542293356,0.0007742186685904298,Não,Rejeita normalidade
AP,desmat_area,20,0.6934133410382208,3.244019547035492e-05,Não,Rejeita normalidade
AP,frota,20,0.9501973165030725,0.3700947557427191,Sim,Não rejeita normalidade
AP,frp_anual_queimadas,20,0.9616104861217085,0.576503181857527,Sim,Não rejeita normalidade
AP,rebanho,20,0.9125742914208131,0.071369431306616,Sim,Não rejeita normalidade
AP,temp_media,16,0.9321453662394222,0.26358390985323876,Sim,Não rejeita normalidade
AP,venda_comb,20,0.7873084498278443,0.0005621886786680382,Não,Rejeita normalidade
BA,area_colhida,20,0.9358600745439599,0.20004062421319724,Sim,Não rejeita normalidade
BA,area_destinada_colheita,20,0.9116203002489202,0.06843615400475819,Sim,Não rejeita normalidade
BA,chuva_media,20,0.9659211287393185,0.6674906814715966,Sim,Não rejeita normalidade
BA,co2,20,0.889766275056415,0.02662750320221261,Não,Rejeita normalidade
BA,consumo_energia_industrial,20,0.925472845240026,0.1263181357992751,Sim,Não rejeita normalidade
BA,desmat_area,20,0.9231922208091606,0.11415643203943532,Sim,Não rejeita normalidade
BA,frota,20,0.9415926725939399,0.2569458741286508,Sim,Não rejeita normalidade
BA,frp_anual_queimadas,20,0.8954087662165261,0.033853208635673725,Não,Rejeita normalidade
BA,rebanho,20,0.8486826218728484,0.00506652847793707,Não,Rejeita normalidade
BA,temp_media,20,0.9468582898468467,0.3219031839746091,Sim,Não rejeita normalidade
BA,venda_comb,20,0.9037612444385412,0.04853522554913501,Não,Rejeita normalidade
CE,area_colhida,20,0.8804751275677352,0.01804416761145284,Não,Rejeita normalidade
CE,area_destinada_colheita,20,0.8716878522802594,0.012581182321200788,Não,Rejeita normalidade
CE,chuva_media,20,0.85569187874093,0.006649302116221837,Não,Rejeita normalidade
CE,co2,20,0.9480928244251812,0.3390661771541167,Sim,Não rejeita normalidade
CE,consumo_energia_industrial,20,0.9371730116886374,0.21191491748170022,Sim,Não rejeita normalidade
CE,desmat_area,20,0.8930436844405225,0.030601920148958205,Não,Rejeita normalidade
CE,frota,20,0.9288654162561601,0.14684166499771711,Sim,Não rejeita normalidade
CE,frp_anual_queimadas,20,0.8662752690537765,0.010111915718729799,Não,Rejeita normalidade
CE,rebanho,20,0.9763983120777222,0.8796709522809509,Sim,Não rejeita normalidade
CE,temp_media,20,0.9467093363524908,0.3198835704713808,Sim,Não rejeita normalidade
CE,venda_comb,20,0.8565422657910164,0.006874408943075896,Não,Rejeita normalidade
DF,area_colhida,20,0.8766949126033656,0.015437411050190399,Não,Rejeita normalidade
DF,area_destinada_colheita,20,0.8598991959202105,0.007845158525280347,Não,Rejeita normalidade
DF,chuva_media,20,0.9566654885079359,0.4795706327147553,Sim,Não rejeita normalidade
DF,co2,20,0.9364150869528569,0.20498076533617854,Sim,Não rejeita normalidade
