Estado,Variavel,Metodo,n,Coeficiente,p_valor,Significativo_5pct,Direcao,Forca,Conclusao
AC,Area_Desmatada km2,Spearman,16,-0.2352941176470588,0.3803558011886571,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
AC,Frota_total,Spearman,16,-0.2352941176470588,0.3803558011886571,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
AC,Internacoes_Respiratorias,Spearman,16,-0.6382352941176471,0.007801138631008013,Sim,Negativa,Forte,Correlação monotônica significativa
AC,Populacao,Spearman,16,-0.18823529411764706,0.4850866091454684,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
AC,Rebanho_total,Spearman,16,-0.22352941176470587,0.40529834728275926,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
AL,Area_Desmatada km2,Spearman,16,0.7999999999999999,0.00019857097280000065,Sim,Positiva,Forte,Correlação monotônica significativa
AL,Frota_total,Spearman,16,0.7999999999999999,0.00019857097280000065,Sim,Positiva,Forte,Correlação monotônica significativa
AL,Internacoes_Respiratorias,Spearman,16,0.4705882352941176,0.06581947250108111,Não,Positiva,Moderada,Sem evidência de correlação monotônica significativa
AL,Populacao,Spearman,16,0.7911764705882354,0.0002619464480824596,Sim,Positiva,Forte,Correlação monotônica significativa
AL,Rebanho_total,Spearman,16,0.7382352941176471,0.0010928508118481525,Sim,Positiva,Forte,Correlação monotônica significativa
AM,Area_Desmatada km2,Spearman,16,0.25,0.35039147910720203,Não,Positiva,Fraca,Sem evidência de correlação monotônica significativa
AM,Frota_total,Spearman,16,0.25,0.35039147910720203,Não,Positiva,Fraca,Sem evidência de correlação monotônica significativa
AM,Internacoes_Respiratorias,Spearman,16,-0.6,0.01400712232959999,Sim,Negativa,Forte,Correlação monotônica significativa
AM,Populacao,Spearman,16,0.25,0.35039147910720203,Não,Positiva,Fraca,Sem evidência de correlação monotônica significativa
AM,Rebanho_total,Spearman,16,-0.09411764705882353,0.7288144270239807,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
AP,Area_Desmatada km2,Spearman,16,0.538235294117647,0.03149322820583828,Sim,Positiva,Moderada,Correlação monotônica significativa
AP,Frota_total,Spearman,16,0.5264705882352941,0.036166514972245434,Sim,Positiva,Moderada,Correlação monotônica significativa
AP,Internacoes_Respiratorias,Spearman,16,0.5235294117647059,0.037412648130149384,Sim,Positiva,Moderada,Correlação monotônica significativa
AP,Populacao,Spearman,16,0.4852941176470588,0.05671771428191193,Não,Positiva,Moderada,Sem evidência de correlação monotônica significativa
AP,Rebanho_total,Spearman,16,0.5117647058823529,0.042723448163331804,Sim,Positiva,Moderada,Correlação monotônica significativa
BA,Area_Desmatada km2,Spearman,16,-0.3529411764705882,0.17995865788498175,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
BA,Frota_total,Spearman,16,-0.3529411764705882,0.17995865788498175,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
BA,Internacoes_Respiratorias,Spearman,16,0.3,0.2589364525624988,Não,Positiva,Fraca,Sem evidência de correlação monotônica significativa
BA,Populacao,Spearman,16,-0.34705882352941175,0.18783442010629955,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
BA,Rebanho_total,Spearman,16,-0.5352941176470588,0.032615863294021934,Sim,Negativa,Moderada,Correlação monotônica significativa
CE,Area_Desmatada km2,Spearman,16,0.823529411764706,8.839139363842152e-05,Sim,Positiva,Muito forte,Correlação monotônica significativa
CE,Frota_total,Spearman,16,0.823529411764706,8.839139363842152e-05,Sim,Positiva,Muito forte,Correlação monotônica significativa
CE,Internacoes_Respiratorias,Spearman,16,0.19705882352941176,0.46446421122573883,Não,Positiva,Muito fraca,Sem evidência de correlação monotônica significativa
CE,Populacao,Spearman,16,0.7999999999999999,0.00019857097280000065,Sim,Positiva,Forte,Correlação monotônica significativa
CE,Rebanho_total,Spearman,16,0.823529411764706,8.839139363842152e-05,Sim,Positiva,Muito forte,Correlação monotônica significativa
DF,Area_Desmatada km2,Spearman,16,0.8676470588235294,1.3348681299166973e-05,Sim,Positiva,Muito forte,Correlação monotônica significativa
DF,Frota_total,Spearman,16,0.8676470588235294,1.3348681299166973e-05,Sim,Positiva,Muito forte,Correlação monotônica significativa
DF,Internacoes_Respiratorias,Spearman,16,0.411764705882353,0.11303386621436715,Não,Positiva,Moderada,Sem evidência de correlação monotônica significativa
DF,Populacao,Spearman,16,0.8911764705882352,3.618648907351986e-06,Sim,Positiva,Muito forte,Correlação monotônica significativa
DF,Rebanho_total,Spearman,16,-0.06764705882352941,0.8034203137966693,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
ES,Area_Desmatada km2,Spearman,16,0.8794117647058824,7.187273041770845e-06,Sim,Positiva,Muito forte,Correlação monotônica significativa
ES,Frota_total,Spearman,16,0.8794117647058824,7.187273041770845e-06,Sim,Positiva,Muito forte,Correlação monotônica significativa
ES,Internacoes_Respiratorias,Spearman,16,0.7411764705882353,0.0010184695495736751,Sim,Positiva,Forte,Correlação monotônica significativa
ES,Populacao,Spearman,16,0.8764705882352942,8.439118583861077e-06,Sim,Positiva,Muito forte,Correlação monotônica significativa
ES,Rebanho_total,Spearman,16,0.8852941176470588,5.147147576842467e-06,Sim,Positiva,Muito forte,Correlação monotônica significativa
GO,Area_Desmatada km2,Spearman,16,-0.06176470588235294,0.8202418775044894,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
GO,Frota_total,Spearman,16,-0.06176470588235294,0.8202418775044894,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
GO,Internacoes_Respiratorias,Spearman,16,-0.4941176470588235,0.05172344224923534,Não,Negativa,Moderada,Sem evidência de correlação monotônica significativa
GO,Populacao,Spearman,16,-0.06176470588235294,0.8202418775044894,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
GO,Rebanho_total,Spearman,16,-0.10294117647058824,0.7044103818167708,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
MA,Area_Desmatada km2,Spearman,16,-0.7205882352941175,0.0016381911638796128,Sim,Negativa,Forte,Correlação monotônica significativa
MA,Frota_total,Spearman,16,-0.7205882352941175,0.0016381911638796128,Sim,Negativa,Forte,Correlação monotônica significativa
MA,Internacoes_Respiratorias,Spearman,16,-0.7205882352941175,0.0016381911638796128,Sim,Negativa,Forte,Correlação monotônica significativa
MA,Populacao,Spearman,16,-0.7205882352941175,0.0016381911638796128,Sim,Negativa,Forte,Correlação monotônica significativa
MA,Rebanho_total,Spearman,16,0.2088235294117647,0.4376585109498007,Não,Positiva,Fraca,Sem evidência de correlação monotônica significativa
MG,Area_Desmatada km2,Spearman,16,-0.22352941176470587,0.40529834728275926,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
MG,Frota_total,Spearman,16,-0.22352941176470587,0.40529834728275926,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
MG,Internacoes_Respiratorias,Spearman,16,-0.01764705882352941,0.9482801500547113,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
MG,Populacao,Spearman,16,-0.28529411764705886,0.284138740159563,Não,Negativa,Fraca,Sem evidência de correlação monotônica significativa
MG,Rebanho_total,Spearman,16,-0.008823529411764706,0.9741279946623942,Não,Negativa,Muito fraca,Sem evidência de correlação monotônica significativa
MS,Area_Desmatada km2,Spearman,16,-0.7411764705882353,0.0010184695495736751,Sim,Negativa,Forte,Correlação monotônica significativa
MS,Frota_total,Spearman,16,-0.7411764705882353,0.0010184695495736751,Sim,Negativa,Forte,Correlação monotônica significativa
