Estado,Ano,venda_comb
AC,2003,265703.0447066
AC,2004,241370.336636
AC,2005,251890.433377
AC,2006,221779.256016
AC,2007,228866.222564519
AC,2008,246808.174261368
AC,2009,255607.497638228
AC,2010,299497.45838948997
AC,2011,321449.01477377
AC,2012,386840.97997766
AC,2013,336132.86309486
AC,2014,357850.1504165
AC,2015,355522.76407392
AC,2016,348471.689941
AC,2017,343732.318183
AC,2018,341181.664552
AC,2019,346585.221261
AC,2020,349577.65558
AC,2021,351196.771289
AC,2022,371687.251449
AC,2023,374085.171144
AL,2003,629696.5928292
AL,2004,671618.1919856
AL,2005,666603.8874354
AL,2006,690852.6199013
AL,2007,704856.322635388
AL,2008,755459.898232114
AL,2009,784407.354191262
AL,2010,879907.963090983
AL,2011,964376.30905579
AL,2012,1026183.21243872
AL,2013,1063545.136201066
AL,2014,1127900.162085
AL,2015,1110841.707748811
AL,2016,1089727.33501
AL,2017,1074484.45823
AL,2018,1050405.56734
AL,2019,1068252.27979
AL,2020,1036743.16395
AL,2021,1107331.7553
AL,2022,1172554.20288
AL,2023,1223176.50885
AM,2003,1486521.822194
AM,2004,1744855.597488
AM,2005,1816585.769208
AM,2006,1887796.77489
AM,2007,2313306.75017038
AM,2008,2433136.85495846
AM,2009,2735685.9052426
AM,2010,3159996.02484785
AM,2011,2761219.9747996
AM,2012,2751413.8044878
AM,2013,2657997.3071601
AM,2014,2585900.303899
AM,2015,2290472.49533075
AM,2016,2016503.63722
AM,2017,2074779.93765
AM,2018,2111877.43805
AM,2019,2044212.50181
AM,2020,1803814.49862
AM,2021,1992330.00877
AM,2022,2117500.73322
AM,2023,1998506.46858
AP,2003,215570.451181
AP,2004,278429.338093
AP,2005,309054.967956
AP,2006,302671.095188
AP,2007,335975.14875211
AP,2008,361146.49462711
AP,2009,417148.45841425
AP,2010,454086.06875931
AP,2011,517887.95917791
AP,2012,636179.35968376
AP,2013,656041.81710147
AP,2014,664650.3865559
AP,2015,445973.66477534804
AP,2016,308146.473029
AP,2017,302800.307311
AP,2018,287443.652202
AP,2019,311224.250928
AP,2020,327736.797146
AP,2021,341571.151769
AP,2022,346250.240725
AP,2023,336975.496375
BA,2003,4096655.36234
BA,2004,4453720.21305
BA,2005,4467863.10604
BA,2006,4661327.81038
BA,2007,4930615.05516239
BA,2008,5585791.884237447
BA,2009,5563934.6722553
BA,2010,6009547.4373904
BA,2011,6292085.63601
BA,2012,6858743.4822578
BA,2013,7397504.1604852
BA,2014,8084199.11855
BA,2015,7492442.48165
BA,2016,6901898.4601
BA,2017,7051407.56284
BA,2018,6892076.86493
BA,2019,6963228.12522
BA,2020,6760290.19878
BA,2021,7238693.86196
BA,2022,7046153.94628
BA,2023,7554887.73057
CE,2003,1463413.7407475
CE,2004,1531731.9130519
CE,2005,1582309.2445004
CE,2006,1720709.9533004
CE,2007,1838969.76869865
CE,2008,2065979.58049985
CE,2009,2141220.08182256
CE,2010,2438512.04497592
CE,2011,2598719.37527144
CE,2012,2917659.54216972
CE,2013,3231667.59321318
CE,2014,3529552.510367
CE,2015,3493002.80775388
CE,2016,3352217.58408
CE,2017,3263870.5993
CE,2018,3215954.83428
CE,2019,3260256.46871
CE,2020,3044909.4143
CE,2021,3241798.84503
CE,2022,3363470.94727
CE,2023,3536840.9968
DF,2003,1506919.5626023
DF,2004,1558463.1980702
DF,2005,1564637.242853
DF,2006,1601532.9741809
DF,2007,1704860.50137528
DF,2008,1805858.9827757
DF,2009,1897954.06274223
DF,2010,1989891.42941656
DF,2011,2084163.54922629
DF,2012,2141419.75903317
DF,2013,2286081.42790786
DF,2014,2418396.062572
DF,2015,2428033.71072406
DF,2016,2324765.6811699998
DF,2017,2315662.98554
DF,2018,2132462.8654
DF,2019,2195112.26667
DF,2020,1797015.54929
DF,2021,1910755.4916
DF,2022,2037777.3281399999
DF,2023,2161887.26414
ES,2003,1792992.69318
ES,2004,1636653.40638
ES,2005,1920486.90298
ES,2006,2078447.74917
ES,2007,2133668.274398807
ES,2008,2109202.889958321
ES,2009,2076816.1347936501
ES,2010,2201757.093353326
ES,2011,2194553.6154982
ES,2012,2418767.95806101
ES,2013,2666315.31376955
ES,2014,2841503.829029
ES,2015,2704680.10013123
ES,2016,2358888.35647
ES,2017,2420502.48007
ES,2018,2445892.19266
ES,2019,2427802.32728
ES,2020,2430508.49079
ES,2021,2899497.2071
ES,2022,2690345.27938
ES,2023,2720646.71115
GO,2003,3171621.69181
GO,2004,3396094.32184
GO,2005,3397172.3463
GO,2006,3517440.47324
GO,2007,3922746.59651074
GO,2008,4386716.99333848
GO,2009,4431977.2368409
GO,2010,4904752.5641585
GO,2011,5158478.1470573
GO,2012,5714176.4456251
GO,2013,6295894.7460288
GO,2014,6698647.89354
GO,2015,6468511.9295945
GO,2016,5969062.44755
GO,2017,5998266.14581
GO,2018,6141260.97198
GO,2019,6371831.67378
GO,2020,6339203.44873
GO,2021,6687275.87408
GO,2022,6853617.9154
GO,2023,7178385.04148
MA,2003,1219591.72419
MA,2004,1343617.991119
MA,2005,1404348.35081
MA,2006,1455531.02864
MA,2007,1609112.3563853
MA,2008,1866595.92102188
MA,2009,1839366.39814595
MA,2010,2140613.88430475
MA,2011,2384576.876021641
MA,2012,2705060.82603106
MA,2013,2830232.23489039
MA,2014,3258646.77518
MA,2015,3305967.420478602
MA,2016,3001190.58333
MA,2017,3107747.0988
MA,2018,3115587.4724
MA,2019,3086752.5963
MA,2020,3185679.34891
MA,2021,3529295.85311
MA,2022,3351960.5829
MA,2023,3529492.39196
MG,2003,9376309.33272
MG,2004,10199613.66202
MG,2005,10442629.28462
MG,2006,10612727.77033
MG,2007,11397193.823139701
MG,2008,12035190.9826373
MG,2009,12034550.0216435
MG,2010,13175945.1636439
MG,2011,13564120.8030937
MG,2012,14099664.9389622
MG,2013,14857864.290757399
MG,2014,15481047.88088
MG,2015,14965635.8394424
MG,2016,14660926.9518
MG,2017,14750539.3757
MG,2018,14603613.46205
MG,2019,15100212.2681
MG,2020,14510662.34882
MG,2021,15059858.32145
MG,2022,15606775.89611
MG,2023,16490852.04612
MS,2003,1515970.941128
MS,2004,1600617.260775
MS,2005,1466023.0831136
MS,2006,1388107.59031024
MS,2007,1511504.611448332
MS,2008,1714296.995235025
MS,2009,1757893.8046186
MS,2010,1896036.2271346
MS,2011,2029827.8980915
MS,2012,2220173.4655056
MS,2013,2443636.8928413
MS,2014,2574918.19513
MS,2015,2554356.0409055
MS,2016,2439464.02987
MS,2017,2329181.70724
MS,2018,2405373.59422
MS,2019,2532682.9617500002
MS,2020,2598867.17095
MS,2021,2892017.71113
MS,2022,3009673.00234
MS,2023,3189928.2630000003
MT,2003,2369502.7657129997
MT,2004,2649783.4706987
MT,2005,2353131.4404706
MT,2006,2157486.916234096
MT,2007,2332256.46567418
MT,2008,2705595.8111762
MT,2009,2849150.0971353
MT,2010,3060135.4097188
MT,2011,3239783.4388319
MT,2012,3735433.0235474
MT,2013,4071233.0308298003
MT,2014,4187641.12809
MT,2015,4233964.1948702
MT,2016,4074970.08517
MT,2017,4292088.95798
MT,2018,4464448.92039
MT,2019,4680191.55863
MT,2020,4863027.10076
MT,2021,5188029.45003
MT,2022,5489967.07459
MT,2023,5846224.71876
PA,2003,2496954.85057
PA,2004,2673728.96314
PA,2005,2742704.68873
PA,2006,3084390.28857
PA,2007,3318355.50109305
PA,2008,3374953.46082249
