variable,description,source,unit,data_type,temporal_granularity,spatial_granularity,transformation
Estado,Unidade federativa brasileira identificada pela sigla UF.,Múltiplas fontes harmonizadas pelo projeto,A CONFIRMAR,text,Estado-Ano final,UF estadual,Normalização de nomes de estados para siglas UF e uso como chave de fusão.
Ano,Ano de referência do registro.,Múltiplas fontes harmonizadas pelo projeto,ano,int64,Anual,UF estadual,Conversão para numérico e filtro comum de 2004 a 2023.
co2,Emissões brutas de CO2 na base final.,SEEG,A CONFIRMAR; base_levantamento.csv registra "Mt CO2e -> 1 = 1000Kg" sem esclarecimento suficiente,numeric,Anual,UF estadual,Transformação wide para long; filtro 2004–2023; remoção de "Não alocado"; normalização de UF; conversão numérica.
frota,Contagem agregada de veículos motorizados considerados pelo pipeline.,SENATRAN/DENATRAN,Contagem de veículos; a unidade formal da fonte não está registrada além de "unidade",numeric,Anual,UF estadual,Conversão de quantidade para numérico; seleção de tipos motorizados; soma por mês; seleção do último mês disponível de cada ano.
rebanho,Quantidade de animais da categoria BOVINO.,IBGE,unidade (conforme base_levantamento.csv),numeric,Anual,UF estadual,Reconstrução da planilha; transformação wide para long; seleção exclusiva de BOVINO; filtro temporal; soma por UF e ano.
venda_comb,Vendas agregadas de todos os produtos de combustíveis.,ANP / dados.gov.br,A base_levantamento.csv registra m³,numeric,Anual,UF estadual,Conversão do número em formato pt-BR; soma dos produtos e meses por UF e ano; filtro temporal e normalização de UF.
desmat_area,Área de desmatamento agregada nas categorias presentes na planilha processada.,MapBiomas,A base_levantamento.csv registra hectares,numeric,Anual,UF estadual,Transformação wide para long; soma por estado e ano de biomas; classes e transições presentes; filtro temporal e normalização de UF.
temp_media,Temperatura média anual agregada a partir das estações válidas.,INMET,A base_levantamento.csv registra ºC,numeric,Anual,UF estadual,Média da estação baseada nas observações válidas; agregação estadual ponderada pelo número de observações horárias válidas; fusão por Estado/Ano.
chuva_media,Precipitação anual média entre estações válidas do estado.,INMET,A base_levantamento.csv registra mm,numeric,Anual,UF estadual,Conversão das séries; soma dos totais anuais por estação; média dos totais anuais das estações por UF e ano; fusão por Estado/Ano.
area_destinada_colheita,Área destinada à colheita agregada por UF e ano.,IBGE/SIDRA,A base_levantamento.csv registra hectares,numeric,Anual,UF estadual,Leitura da tabela wide; identificação dos anos; transformação para long; conversão numérica; soma por UF e ano; filtro temporal.
area_colhida,Área colhida agregada por UF e ano.,IBGE/SIDRA,A base_levantamento.csv registra hectares,numeric,Anual,UF estadual,Leitura da tabela wide; identificação dos anos; transformação para long; conversão numérica; soma por UF e ano; filtro temporal.
consumo_energia_industrial,Consumo de energia elétrica do setor industrial agregado por UF e ano.,EPE,A base_levantamento.csv registra MWh,numeric,Anual,UF estadual,Extração dos anos; conversão numérica; soma dos meses de cada ano; remoção de linhas TOTAL/NOTA; filtro temporal e normalização de UF.
frp_anual_queimadas,Soma anual do Fire Radiative Power (FRP) dos focos detectados.,INPE / Terra Brasilis / BDQueimadas,A CONFIRMAR; o código identifica FRP mas não especifica unidade física,numeric,Anual,UF estadual,Leitura em partes; seleção de registros do Brasil; filtro pelo ano inicial do arquivo; descarte de códigos ausentes; soma de FRP por UF e ano.
